symbol,rule_return_%,bh_return_%,alpha_%,rule_sharpe,bh_sharpe,rule_maxdd_%,bh_maxdd_%,n_trades,win_rate_%,expectancy_%,size,adv_usd_m
SPY,212.2870084450665,299.7718642943212,-87.4848558492547,0.8924712926222415,1.0406657673320998,-33.71728123334454,-33.71728123334453,10,80.0,2122.8700844506643,mega,61788.1
QQQ,429.6439801084626,528.0114805250397,-98.36750041657716,1.0624462247298556,1.1302184943590403,-35.11871698854107,-35.118716988541046,10,100.0,4296.439801084625,mega,39413.4
IWM,155.12857022632832,180.4734093963122,-25.344839169983892,0.6312459422826254,0.6800865454252312,-41.13327507641982,-41.13327507641985,4,100.0,3878.214255658207,mega,12150.0
DIA,198.52077786397658,237.2842367049506,-38.76345884097401,0.8671284660854578,0.9429426565953045,-36.69607547863508,-36.696075478635095,5,100.0,3970.4155572795316,mega,3374.3
XLK,661.6547160549007,682.0122650469251,-20.357548992024377,1.266067967667392,1.1655334102106525,-33.55908139264425,-33.559081392644394,13,100.0,5089.6516619607755,mega,2287.8
XLF,211.60910746843848,237.32492991251485,-25.715822444076373,0.7562975872768221,0.7954464945220024,-42.86254268792782,-42.86254268792783,5,80.0,4232.18214936877,mega,2707.8
XLE,151.50125534947597,150.4909194451488,1.0103359043271976,0.5589732300618825,0.5545085210951428,-66.81304783391475,-66.81304783391474,3,66.66666666666666,5050.041844982533,mega,3580.7
XLV,168.88205246186098,141.32852842040788,27.5535240414531,0.9303906822102944,0.7429497911860263,-17.108991159841946,-28.404332962164546,4,100.0,4222.051311546525,mega,2154.6
XLI,252.3444559266213,269.2641440158507,-16.91968808922941,0.8837157249806744,0.9114112731896272,-42.33409135830761,-42.33409135830766,4,100.0,6308.611398165533,mega,2357.0
XLY,261.3975408649871,236.3618890038124,25.035651861174692,0.8999605992764418,0.7977632097361169,-39.66957840772434,-39.66957840772438,5,100.0,5227.950817299741,mega,1228.9
XLP,98.61894480799891,107.28904609535195,-8.670101287353027,0.653739556797259,0.6868934919193168,-24.512260590686274,-24.512260590686274,2,100.0,4930.947240399946,mega,1481.8
XLU,136.1366722261612,167.02262162120186,-30.885949395040658,0.6584473115145192,0.7332811793211975,-36.06674609988488,-36.06674609988488,2,100.0,6806.83361130806,mega,1210.9
XLB,145.2660887855324,173.48893391707261,-28.222845131540232,0.6540837579853548,0.7131609357947134,-37.27418093412677,-37.2741809341267,3,100.0,4842.2029595177455,mega,786.0
XLRE,131.2246335041795,101.58512189186662,29.63951161231291,0.7036716677269369,0.5382778127337873,-34.11405771755424,-38.824748551040535,3,100.0,4374.154450139317,large,381.1
XLC,191.50667251914967,156.64716427212048,34.85950824702921,0.989867943358837,0.7852469855713305,-46.65361188580592,-46.653611885805944,4,100.0,4787.666812978742,mega,903.9
510300.SS,74.53711907408575,80.47553764053596,-5.93841856645021,0.4877342916286838,0.5101458100100836,-42.157023010313765,-42.15702301031363,4,100.0,1863.4279768521437,large,433.5
159915.SZ,60.68136824861911,83.77433628160578,-23.092968032986683,0.3796561135526995,0.4367386543029947,-56.584658954463826,-56.58465895446385,6,66.66666666666666,1011.3561374769854,mega,552.2
510500.SS,57.923195560580865,60.22161482799998,-2.298419267419116,0.3919428824223326,0.3987042484546553,-39.179018516593786,-39.48104453212367,2,100.0,2896.159778029043,mega,533.2
510050.SS,73.26724763027617,67.70124357257835,5.5660040576978265,0.49778204643138835,0.4670453938279352,-41.88062222178327,-41.88062222178329,3,100.0,2442.241587675873,large,275.8
588000.SS,8.61787143310079,4.450247389585366,4.167624043515425,0.23791226452558187,0.20913842104945735,-58.065363098325975,-59.6407160409667,2,50.0,430.8935716550393,mega,514.7
^HSI,11.711944471990627,22.501036981581475,-10.789092509590846,0.19319021226252647,0.24641100637681285,-59.19738285870055,-55.70077249305001,7,42.857142857142854,167.31349245700886,mega,12015539.1
^HSTECH,-31.380502462752002,-35.39381970563983,4.013317242887826,-0.0882685447230097,-0.126163347180334,-61.95546857906224,-61.95546857906218,2,0.0,-1569.0251231376,mega,651.9
GLD,210.5621510063842,268.3051359203937,-57.74298491400947,1.0104901006426168,1.0862103078688992,-24.11554471063426,-22.002168134715404,13,69.23076923076923,1619.7088538952628,mega,6267.1
SLV,427.7323682145357,340.53119603591506,87.20117217862065,0.9023524016800331,0.7634445720250946,-44.73050133053103,-42.80612336750188,8,75.0,5346.654602681697,mega,3009.7
USO,380.0326137633058,41.662773831070666,338.3698399322351,0.7825873542422905,0.3461386783757474,-42.22636812232082,-86.75373056873745,7,71.42857142857143,5429.037339475797,mega,6578.3
IBIT,17.49068599133414,61.88509939521361,-44.39441340387946,0.4598966768360631,0.8095689962235645,-49.3617646086208,-49.361764608620895,2,50.0,874.534299566707,mega,2084.5
