symbol,rule_return_%,bh_return_%,alpha_%,rule_sharpe,bh_sharpe,rule_maxdd_%,bh_maxdd_%,n_trades,win_rate_%,expectancy_%,size,adv_usd_m
SPY,62.57654399825895,299.72975054266476,-237.15320654440583,0.5995761345580292,1.0405951192007175,-26.453296159572204,-33.717255065143426,211,37.91469194312796,29.657129856994672,mega,61788.2
QQQ,126.35491051835088,527.9048852776203,-401.5499747592694,0.7969414293325675,1.1301266094500302,-28.47871670012522,-35.1187247550295,207,40.57971014492754,61.04101957408261,mega,39413.4
IWM,13.260552864480324,180.51377731290307,-167.25322444842274,0.19039809982624173,0.6801616503275373,-44.77724324094863,-41.13330938939961,250,29.2,5.3042211457920985,mega,12150.0
DIA,85.96664108026727,237.3215761558697,-151.35493507560244,0.7803380961839083,0.943017150976878,-18.000869557760012,-36.69604233203564,205,35.12195121951219,41.934946868423054,mega,3374.3
XLK,81.07456261446312,681.7598288312382,-600.6852662167751,0.564108709018768,1.1653748008855802,-39.03598015860182,-33.5590532108375,203,37.4384236453202,39.938208184464486,mega,2287.8
XLF,91.50448474272905,237.42021852898048,-145.91573378625142,0.6539075163124893,0.7955979075071699,-19.355926556670276,-42.86253629896921,219,35.61643835616438,41.78286974553836,mega,2707.8
XLE,86.4236282824801,150.37744285227964,-63.95381456979954,0.5103108164277178,0.554323337901529,-35.30053619180743,-66.81303759401884,223,32.28699551569507,38.75499026120178,mega,3580.7
XLV,49.31088505923413,141.36137416166844,-92.0504891024343,0.5110423637658296,0.7430509494194619,-15.043026033047003,-28.404301819227264,216,37.5,22.829113453349166,mega,2154.6
XLI,45.79038920808918,269.2217309527548,-223.43134174466562,0.4350326612324668,0.9113423017928586,-33.44077391741895,-42.334084898484306,235,29.361702127659573,19.485272003442063,mega,2357.0
XLY,148.62515713491115,236.36174573079276,-87.73658859588163,0.8917026871982628,0.7977628358977221,-22.59715870325746,-39.66957388625612,221,35.74660633484163,67.25120232348922,mega,1228.9
XLP,6.30974205417795,107.32692553035281,-101.01718347617485,0.13494357230445078,0.687045273896868,-19.594825474296528,-24.512265831227985,231,27.27272727272727,2.731490066743703,mega,1481.8
XLU,-7.978034179692458,167.08113538610027,-175.05916956579273,-0.006648193958785056,0.733419952740882,-26.004259245328896,-36.06676151126727,245,30.20408163265306,-3.256340481507152,mega,1210.9
XLB,50.99836893360329,173.54116450571445,-122.54279557211115,0.44728169545344876,0.7132721230477577,-18.04793618114565,-37.274182722886565,222,35.13513513513514,22.972238258379974,mega,786.0
XLRE,30.825791423096817,101.69829800602442,-70.8725065829276,0.32718635574753313,0.5386109236642674,-19.62064485390992,-38.82477347960751,230,31.73913043478261,13.40251801004203,large,381.1
XLC,35.234966897687734,156.53918071839914,-121.3042138207114,0.41308849072351306,0.7849568413335737,-37.219749171395634,-46.65360691926112,175,37.714285714285715,20.134266798678752,mega,903.9
510300.SS,12.868558531264826,80.47553764053596,-67.60697910927112,0.19393298147277252,0.510145805314852,-35.42994700455072,-42.15702301031381,228,23.684210526315788,5.644104618975845,large,433.5
159915.SZ,8.860475246012356,83.77433628160578,-74.91386103559343,0.17446930536295285,0.4367386543029947,-47.58774692696408,-56.58465895446385,228,21.49122807017544,3.886173353514195,mega,552.2
510500.SS,23.87301689448361,60.22161482799998,-36.348597933516366,0.27017417738633603,0.39870424013684574,-41.643629441109766,-39.48104453212371,210,28.095238095238095,11.368103283087436,mega,533.2
510050.SS,7.2827271112888585,67.70125472562995,-60.4185276143411,0.145358169692951,0.4670454595395027,-39.62410905074819,-41.88062222178301,224,30.80357142857143,3.2512174603968447,large,275.8
588000.SS,43.227262488061115,4.450247389585366,38.77701509847575,0.49019413535308237,0.20913842104945735,-26.50880493072124,-59.6407160409667,116,25.0,37.264881455225066,mega,514.7
^HSI,-36.2119425927115,22.501036981581475,-58.71297957429298,-0.2961993671344937,0.24641100637681285,-56.02628334676335,-55.70077249305001,239,25.94142259414226,-15.151440415360469,mega,12015539.1
^HSTECH,0.2988069448054557,-35.39381970563983,35.692626650445284,0.13571236419047022,-0.126163347180334,-35.53243882836799,-61.95546857906218,108,27.77777777777778,0.2766730970420923,mega,651.9
GLD,73.58984102981671,268.21303631124204,-194.62319528142532,0.6093066601200701,1.086015151770515,-25.794445697236934,-22.002168134715404,224,29.910714285714285,32.85260760259672,mega,6267.1
SLV,154.54656659451277,340.12958204941265,-185.5830154548999,0.6148263521656303,0.7630897712043357,-38.918824796891286,-42.80612336750188,230,27.82608695652174,67.19415938891862,mega,3009.7
USO,19.80191589169071,41.69181107819016,-21.88989518649945,0.23692336962957247,0.3462027290547113,-48.88333250513636,-86.75373056873745,239,30.962343096234306,8.285320456774286,mega,6578.3
IBIT,-19.14919671977341,61.79121457859017,-80.94041129836359,-0.20041012031449953,0.8089593904002973,-31.006191165040555,-49.361764608620895,54,22.22222222222222,-35.46147540698777,mega,2084.5
