symbol,rule_return_%,bh_return_%,alpha_%,rule_sharpe,bh_sharpe,rule_maxdd_%,bh_maxdd_%,n_trades,win_rate_%,expectancy_%,size,adv_usd_m
SPY,145.6665056292308,299.6537052812953,-153.98719965206445,0.8037774040767757,1.0404675206228349,-28.319050976193804,-33.71725988642292,34,82.35294117647058,428.43089890950216,mega,61788.2
QQQ,188.20550274177478,527.6138440956603,-339.4083413538856,0.8153236044181951,1.1298750310702925,-23.10888541891979,-35.11871194954328,31,83.87096774193549,607.1145249734672,mega,39413.4
IWM,93.21409178472737,180.4935241594812,-87.27943237475384,0.5575387812668609,0.6801240544051671,-40.821050283528606,-41.13327021897828,37,78.37837837837837,251.92997779656042,mega,12150.1
DIA,116.90397684741278,237.29434653006675,-120.39036968265397,0.716009013118078,0.9429629019879517,-36.69608433571268,-36.69608433571268,33,81.81818181818183,354.25447529519033,mega,3374.3
XLK,162.6694315702957,681.3563798034311,-518.6869482331355,0.7130653752900808,1.165119662791509,-25.656298282430868,-33.55906653784968,32,84.375,508.341973657174,mega,2287.8
XLF,156.69664659868195,237.45190759026258,-80.75526099158064,0.7403220016066433,0.7956482915173337,-42.86251467679806,-42.86251467679807,36,83.33333333333334,435.2684627741164,mega,2707.8
XLE,71.49794500004712,150.49098452288752,-78.99303952284039,0.42693919451863965,0.5545086159718674,-59.83614827649957,-66.81303189850539,35,65.71428571428571,204.27984285727746,mega,3580.7
XLV,117.2906626706429,141.377913198433,-24.087250527790083,0.7681257025267413,0.7431022302555953,-28.136698760435518,-28.404313360635136,37,81.08108108108108,317.0017910017379,mega,2154.6
XLI,158.49958318760557,269.17937753724743,-110.67979434964185,0.8111937348102467,0.911273095408089,-42.33408984234141,-42.33408984234135,39,89.74358974358975,406.4091876605272,mega,2357.0
XLY,91.01466476560608,236.34781041943847,-145.3331456538324,0.5359632165712519,0.797740536521517,-37.80247041743223,-39.6695558003762,34,79.41176470588235,267.69019048707685,mega,1228.9
XLP,81.63060647868127,107.27639277481187,-25.64578629613059,0.6849528677387273,0.6868430886478033,-22.63759262023428,-24.512251946743568,35,74.28571428571429,233.23030422480377,mega,1481.8
XLU,182.77739224696532,167.02271113155186,15.754681115413472,0.9165207352790206,0.733281214037889,-33.96418402593394,-36.0667591566848,39,87.17948717948718,468.6599801204241,mega,1210.9
XLB,94.55319642972874,173.514971234017,-78.96177480428827,0.5931370583741078,0.7132160356850321,-36.700721190501206,-37.274183553784226,37,67.56756756756756,255.5491795398073,mega,786.0
XLRE,71.88316064674206,101.74354742549858,-29.86038677875653,0.4962794496305343,0.5387439869179309,-36.01703123416996,-38.824748551040514,32,71.875,224.6348770210686,large,381.1
XLC,126.79717702016956,156.53918071839914,-29.742003698229592,0.8124921130569167,0.7849568413335737,-30.149367653696324,-46.65360691926112,26,76.92307692307693,487.6814500775754,mega,903.9
510300.SS,12.218169936800296,80.47553764053596,-68.25736770373567,0.1895785729356449,0.5101457777436588,-31.27077914755261,-42.1570230103137,29,65.51724137931035,42.1316204717252,large,433.5
159915.SZ,-41.45672554430308,83.77433628160578,-125.23106182590887,-0.24332551274387296,0.4367386543029947,-60.25417947946947,-56.58465895446385,24,54.166666666666664,-172.7363564345962,mega,552.2
510500.SS,22.250162142800637,60.22161482799998,-37.971452685199345,0.2533200913991412,0.39870424013684574,-33.08865167905508,-39.48104453212371,32,68.75,69.5317566962519,mega,533.2
510050.SS,28.779524247411064,67.70125472562995,-38.92173047821889,0.33800853393493446,0.4670454510764827,-33.784056688310486,-41.880622221783185,30,73.33333333333333,95.9317474913702,large,275.8
588000.SS,-35.53643031459103,4.450247389585366,-39.986677704176394,-0.42063077562880646,0.20913842104945735,-54.20836476990847,-59.6407160409667,14,50.0,-253.83164510422142,mega,514.7
^HSI,16.693532026441137,22.501036981581475,-5.807504955140338,0.21441420976262174,0.24641100637681285,-44.25336585365661,-55.70077249305001,32,59.375,52.167287582628404,mega,12015539.1
^HSTECH,-43.32061511639698,-35.39381970563983,-7.926795410757148,-0.4003846253816493,-0.126163347180334,-54.729263950022045,-61.95546857906218,13,38.46153846153847,-333.23550089536104,mega,651.9
GLD,82.91054385276937,268.1376751160732,-185.22713126330385,0.8702611164404523,1.0858552669495163,-18.232684038276837,-22.002168134715404,33,72.72727272727273,251.24407228111926,mega,6267.1
SLV,113.07483692985456,340.0450515537185,-226.97021462386397,0.6323170702517276,0.7630150142756349,-31.226990412003698,-42.80612336750188,33,72.72727272727273,342.65102099955953,mega,3009.7
USO,-51.189268903560134,41.69787829710423,-92.88714720066437,-0.09781245177219683,0.3462161109529706,-84.23335723649402,-86.75373056873745,28,64.28571428571429,-182.818817512715,mega,6578.3
IBIT,48.86669296459253,61.71610959025379,-12.84941662566126,0.8264372210753514,0.8084713951526614,-32.70689560950289,-49.361764608620895,8,75.0,610.8336620574069,mega,2084.5
