symbol,rule_return_%,bh_return_%,alpha_%,rule_sharpe,bh_sharpe,rule_maxdd_%,bh_maxdd_%,n_trades,win_rate_%,expectancy_%,size,adv_usd_m
SPY,90.60259932112729,299.6028595692425,-209.00026024811527,0.6566319069531428,1.0403818500545894,-28.31902500036555,-33.7172565585582,65,81.53846153846153,139.38861434019566,mega,61788.2
QQQ,79.84779353265606,527.5945176055158,-447.74672407285976,0.5290451441801067,1.1298585849401586,-31.687532051519508,-35.11868906605462,68,72.05882352941177,117.42322578331772,mega,39413.5
IWM,62.11519961167029,180.40296166087754,-118.28776204920726,0.4393578241553418,0.6799557808402984,-38.473018765597914,-41.13330938939968,63,68.25396825396825,98.5955549391592,mega,12150.1
DIA,95.88301946378579,237.27411267445646,-141.39109321067068,0.680452309888524,0.9429216963593285,-31.083370663280686,-36.696084335712676,64,73.4375,149.8172179121653,mega,3374.3
XLK,148.42257698134847,681.2051429911709,-532.7825660098224,0.7069668716120509,1.165024546243088,-25.45406428728102,-33.55906653784966,65,73.84615384615385,228.34242612515143,mega,2287.8
XLF,112.60770821431439,237.42021852898048,-124.8125103146661,0.6373570553079723,0.7955980634190833,-36.286262053939076,-42.86254661899458,70,71.42857142857143,160.86815459187773,mega,2707.8
XLE,24.693333046003755,150.4001711221055,-125.70683807610172,0.2553352591800878,0.5543604358474142,-62.156388872169366,-66.81304328953175,67,64.17910447761194,36.85572096418457,mega,3580.7
XLV,68.13340289475698,141.39435123293157,-73.2609483381746,0.5839078781038344,0.7431529456594803,-25.01031849864307,-28.40428221768655,64,68.75,106.45844202305767,mega,2154.6
XLI,100.63924788941885,269.09473282253475,-168.45548493311588,0.6620029534251956,0.9111349100091871,-36.04598245915501,-42.33407919664289,66,71.21212121212122,152.48370892336197,mega,2357.0
XLY,34.184742385765986,236.26410463951228,-202.07936225374627,0.31718253852709216,0.7976051232911365,-35.506314004049145,-39.6695776335102,69,63.76811594202898,49.54310490690719,mega,1228.9
XLP,30.563083663362338,107.2764925634327,-76.71340890007036,0.3510834867727414,0.6868431731989585,-22.6375942308189,-24.512258888985816,61,63.934426229508205,50.10341584157787,mega,1481.8
XLU,62.733373642731785,167.02271113155186,-104.28933748882008,0.4896728189554161,0.733281214037889,-33.96418402593395,-36.0667591566848,66,68.18181818181817,95.05056612535124,mega,1210.9
XLB,62.462466705220486,173.46282228859062,-111.00035558337014,0.4699030442927862,0.7131053173147358,-31.983391363777404,-37.274185342543575,65,66.15384615384615,96.09610262341604,mega,786.0
XLRE,40.52486182068982,101.76620712869622,-61.2413453080064,0.3539953982729888,0.5388105490436744,-36.01704882309018,-38.824799661057575,69,66.66666666666666,58.731683798101216,large,381.1
XLC,59.83570963908882,156.51758451337489,-96.68187487428608,0.5415580216994563,0.7848984076526424,-33.296927487184,-46.653592019621016,48,81.25,124.65772841476846,mega,903.9
510300.SS,47.9506175326931,80.47555390023498,-32.52493636754188,0.44995289708950265,0.5101458575495228,-30.522339626146223,-42.15702301031368,61,72.1311475409836,78.60756972572645,large,433.5
159915.SZ,19.886123407395463,83.77433628160578,-63.888212874210325,0.2327514875794287,0.4367386543029947,-47.81893816947108,-56.58465895446385,62,59.67741935483871,32.07439259257325,mega,552.2
510500.SS,13.638531458312428,60.22161482799998,-46.58308336968755,0.1965112556594688,0.39870424013684574,-43.29406811850044,-39.48104453212371,60,55.00000000000001,22.730885763854047,mega,533.2
510050.SS,65.31522697325003,67.70125472562995,-2.3860277523799267,0.5734731348246163,0.46704547560687043,-34.72226623594714,-41.88062222178325,62,70.96774193548387,105.34714027943551,large,275.8
588000.SS,-36.573935112706955,4.450247389585366,-41.02418250229232,-0.3174537970837883,0.20913842104945735,-56.77313720015964,-59.6407160409667,31,45.16129032258064,-117.98043584744175,mega,514.7
^HSI,51.10879172397607,22.501036981581475,28.607754742394594,0.4038818751767976,0.24641100637681285,-38.10304185162272,-55.70077249305001,65,60.0,78.62891034457843,mega,12015539.1
^HSTECH,-32.45633476859404,-35.39381970563983,2.9374849370457867,-0.23167501479248973,-0.126163347180334,-52.172139736016234,-61.95546857906218,29,48.275862068965516,-111.91839575377264,mega,651.9
GLD,124.33494294989708,268.1376751160732,-143.80273216617613,1.1007519600282865,1.0858552669495163,-15.515119996886217,-22.002168134715404,66,69.6969696969697,188.38627719681398,mega,6267.1
SLV,168.58354351098828,339.94451862565455,-171.3609751146663,0.7169873074051062,0.762926069165444,-33.294978395786536,-42.80612336750188,74,68.91891891891892,227.81559933917333,mega,3009.7
USO,30.966678219403164,41.69787829710423,-10.73120007770107,0.2867493971493956,0.3462161109529706,-68.53725525082255,-86.75373056873745,68,69.11764705882352,45.5392326755929,mega,6578.3
IBIT,-1.8263546689439865,61.67856425849152,-63.504918927435504,0.19538525886120697,0.8082273345533173,-43.76208166111223,-49.361764608620895,15,66.66666666666666,-12.175697792959909,mega,2084.5
