symbol,rule_return_%,bh_return_%,alpha_%,rule_sharpe,bh_sharpe,rule_maxdd_%,bh_maxdd_%,n_trades,win_rate_%,expectancy_%,size,adv_usd_m
SPY,71.3794238368231,299.61152281766283,-228.23209898083974,0.5402524763942164,1.0403968849498935,-32.046050279906865,-33.7172648213807,185,58.91891891891892,38.58347234422861,mega,61788.2
QQQ,284.3954377424206,527.5852014250155,-243.1897636825949,1.029450527264825,1.1298503402774944,-29.932354063206468,-35.118741443757465,182,53.2967032967033,156.26122952880246,mega,39413.5
IWM,-3.932759381206706,180.38291147598176,-184.31567085718845,0.08867085442065563,0.6799184682388586,-48.94867659594333,-41.13327593781166,216,48.148148148148145,-1.8207219357438476,mega,12150.1
DIA,29.508544127534915,237.26109078464833,-207.7525466571134,0.3054551518751575,0.9428970132362211,-36.80028248111067,-36.6961078306428,198,52.02020202020202,14.903305114916634,mega,3374.3
XLK,127.55338596273734,681.205218147396,-553.6518321846586,0.6466297312614818,1.1650245186496118,-43.33003115295223,-33.559072467679584,205,51.21951219512195,62.2211638842621,mega,2287.8
XLF,51.553352489617886,237.38847184144137,-185.83511935182347,0.38561009387899864,0.79554746479264,-45.87086303699971,-42.862531876842745,191,49.73821989528796,26.991284025978047,mega,2707.8
XLE,-41.44492717611286,150.40010606796574,-191.8450332440786,-0.12217239812692518,0.554360301799595,-70.03864086651804,-66.81303874514744,212,43.86792452830189,-19.549493950996606,mega,3580.7
XLV,7.938448467356684,141.3943208865719,-133.45587241921524,0.14951390043689883,0.7431525609433316,-26.885192163006224,-28.404296048521992,209,40.66985645933015,3.7983007020844752,mega,2154.6
XLI,-1.15990356046972,269.0735722661672,-270.23347582663695,0.08353990801828422,0.9111003973408646,-36.27596462109048,-42.334085656468034,220,46.81818181818182,-0.5272288911224337,mega,2357.0
XLY,77.82745752750793,236.222305447965,-158.39484792045707,0.49529877389507443,0.7975373655330603,-34.03887853100661,-39.66956561753295,206,50.0,37.78031918811064,mega,1228.9
XLP,-11.249173039255894,107.30159962001886,-118.55077265927476,-0.03821601927444328,0.6869440067350606,-25.938924765051617,-24.512265831227996,222,45.94594594594595,-5.067195062727862,mega,1481.8
XLU,25.652710002485037,166.87029936039627,-141.21758935791124,0.268167651321385,0.7329185856721128,-27.979694323300897,-36.066757337449204,210,42.857142857142854,12.215576191659508,mega,1210.9
XLB,64.6440271362767,173.3064371236933,-108.66240998741661,0.45516038358796085,0.7127723706977974,-34.10242328105393,-37.274187962201445,194,48.45360824742268,33.32166347230768,mega,786.0
XLRE,38.01700536247894,101.76620712869622,-63.749201766217276,0.36157222320762483,0.5388104424605168,-21.875406941694653,-38.8247790852991,219,45.662100456621005,17.35936317921417,large,381.1
XLC,-20.325553875026444,156.51760563699233,-176.84315951201876,-0.08916175461817932,0.7848984358977483,-46.409771587096984,-46.65360723081008,167,48.50299401197605,-12.170990344327208,mega,903.9
510300.SS,29.259801486057167,80.47553764053596,-51.21573615447878,0.3014561731812555,0.5101458558736365,-46.959954367994136,-42.157023010313566,210,40.0,13.933238802884347,large,433.5
159915.SZ,31.454822100782962,83.77433628160578,-52.31951418082282,0.2853465612471461,0.4367386543029947,-68.15005122859984,-56.58465895446385,230,38.26086956521739,13.676009609036186,mega,552.2
510500.SS,74.13835121262562,60.221600134843335,13.916751077782285,0.49463549569510834,0.39870418713597205,-37.84029147248589,-39.48104714623791,202,41.089108910891085,36.70215406565613,mega,533.2
510050.SS,45.92006670561412,67.70125472562995,-21.78118802001584,0.4030684336830456,0.46704547136244984,-23.415574502638158,-41.88062222178331,205,38.53658536585366,22.400032539323917,large,275.8
588000.SS,-2.512872232467089,4.450247389585366,-6.963119622052455,0.1256836677620161,0.20913842104945735,-50.476707849518355,-59.6407160409667,124,33.87096774193548,-2.02650986489283,mega,514.7
^HSI,-18.71663815600851,22.501036981581475,-41.21767513758998,-0.05088408097835963,0.24641100637681285,-56.40523633163576,-55.70077249305001,211,40.758293838862556,-8.870444623700678,mega,12015539.1
^HSTECH,-38.721227221713875,-35.39381970563983,-3.3274075160740493,-0.3450825904984482,-0.126163347180334,-63.3354634127959,-61.95546857906218,101,40.5940594059406,-38.33784873437018,mega,651.9
GLD,51.244196552462384,268.0874343192941,-216.84323776683178,0.4571743958910455,1.0857485786681134,-32.123279143575715,-22.002168134715404,194,43.29896907216495,26.414534305393033,mega,6267.1
SLV,267.2421933226609,339.9136433443765,-72.6714500217156,0.7847315691510146,0.7628987448456545,-52.48988089113102,-42.80612336750188,199,44.72361809045226,134.29255945862351,mega,3009.7
USO,-44.45660542933793,41.69787829710423,-86.15448372644217,-0.024206171812601852,0.3462161109529706,-82.58735992729656,-86.75373056873745,206,50.0,-21.580876422008714,mega,6578.3
IBIT,26.330883297858996,61.67856425849152,-35.34768096063252,0.5559281722949361,0.8082273345533173,-49.7870809011158,-49.361764608620895,44,43.18181818181818,59.842916586043316,mega,2084.5
