symbol,rule_return_%,bh_return_%,alpha_%,rule_sharpe,bh_sharpe,rule_maxdd_%,bh_maxdd_%,n_trades,win_rate_%,expectancy_%,size,adv_usd_m
AGQ,-39.534029424458865,171.84744840401027,-211.38147782846914,-0.14697156191107102,0.818225749153693,-72.9223352606019,-76.21045362881947,8,25.0,-494.1753678057361,large,652.0
META,116.9978250610153,124.29260131788,-7.294776256864699,0.78302716439271,0.7116918074735366,-49.130244286690086,-76.73609445664673,9,66.66666666666666,1299.9758340112812,mega,9891.5
SLV,85.56127326794936,192.10526031292562,-106.54398704497625,0.6894161398697582,0.9522499628687227,-42.452650250126425,-42.452650250126354,8,37.5,1069.515915849367,mega,3104.4
TSLA,54.748912355533065,58.24061063702,-3.4916982814869324,0.5067099865111636,0.5411035898326236,-57.25362422813638,-73.63221744219119,9,55.55555555555556,608.3212483948123,mega,24285.6
UGL,185.37805566638224,334.9671465055168,-149.58909083913457,1.018176822842212,1.2114635492071715,-37.56132052143995,-40.22973372731329,8,50.0,2317.225695829778,large,267.1
MSFT,20.932338455501483,67.1998471448808,-46.26750868937932,0.3637080382905077,0.6307842589507117,-31.825284691714018,-37.14848796120884,11,81.81818181818183,190.29398595910442,mega,12686.1
GOOG,128.72628767887718,194.90698279725117,-66.18069511837402,0.9564040043324621,1.0351691927010107,-31.13214054121728,-44.601842955948534,6,66.66666666666666,2145.438127981286,mega,6015.1
GLD,102.30343470169781,162.94533010097138,-60.64189539927356,1.1711281923102794,1.4213162245615374,-19.20951409971825,-21.032844203783384,9,55.55555555555556,1136.7048300188646,mega,6406.5
AMZN,21.893462730402952,47.69692140100085,-25.8034586705979,0.35150486400845327,0.4789103578095656,-30.87663843187608,-56.14526325328263,5,60.0,437.8692546080588,mega,9597.1
QQQ,97.39721838629751,96.439110172386,0.9581082139115238,1.2232452501508533,0.8629600628436758,-16.61355365138536,-35.118723599276855,7,85.71428571428571,1391.3888340899648,mega,40007.5
LULU,-40.97719873984348,-48.93779805972171,7.960599319878231,-0.21322893398654727,-0.1378411638613971,-56.21041454437141,-71.47802628765004,7,28.57142857142857,-585.3885534263354,large,480.5
SPY,23.48289812875919,82.37666743287373,-58.89376930411454,0.6248126450182535,0.9524300071120116,-12.108903006017592,-24.496404685184604,7,85.71428571428571,335.46997326798805,mega,62530.5
NVDA,884.9871619805903,1218.7675434766386,-333.7803814960484,1.620799005090016,1.5165901752684026,-44.67492492058802,-66.33510055077032,11,54.54545454545454,8045.337836187183,mega,31550.8
WMT,104.55413791594161,190.28046007259294,-85.72632215665132,1.1652900993085795,1.34093590612439,-21.928033907609834,-25.73967621890678,7,71.42857142857143,1493.6305416563087,mega,2482.4
DIS,-2.466813445250555,-40.58035862407317,38.11354517882262,0.0778701789375059,-0.2576348078773188,-32.312604519909,-57.3594219765868,6,33.33333333333333,-41.1135574208426,mega,1084.2
NBIS,38.160384437926076,695.8000183105469,-657.6396338726208,0.7768183608299143,2.1775620447067854,-58.26919160953879,-58.269191609538815,3,66.66666666666666,1272.0128145975357,mega,2120.5
DE,0.9930699014412493,69.03714703470935,-68.0440771332681,0.13619978552028936,0.6117816425548336,-40.50071685671003,-33.812145810175174,9,55.55555555555556,11.034110016014097,mega,790.2
OXY,-51.875994220032084,137.5067882637935,-189.3827824838256,-0.6981857117621753,0.761560568249912,-57.239233344399906,-50.77284485987672,9,22.22222222222222,-576.3999357781342,mega,1239.9
NKE,-49.74333979147506,-61.399659541434616,11.65631974995956,-0.925841099189524,-0.42814577252892677,-55.726185250607266,-74.19325518780727,9,22.22222222222222,-552.7037754608343,mega,1131.1
ORCL,70.58824008651965,147.8499894048282,-77.26174931830853,0.6452734449602615,0.7767824554955937,-50.44161837700587,-58.24985699540264,7,71.42857142857143,1008.4034298074237,mega,4141.3
IGV,24.092601398691077,18.66310284406094,5.429498554630135,0.3877389517034444,0.31565830801354766,-31.122238700621153,-45.85040946837287,5,60.0,481.85202797382135,mega,1974.3
ADBE,-24.33354488259616,-51.47168055386954,27.13813567127338,-0.18502199303341543,-0.2705584393778551,-52.84172471638951,-67.26324393829046,5,20.0,-486.6708976519236,mega,1528.4
USO,33.15400297432669,190.44768581580138,-157.2936828414747,0.4316198520544536,0.943864317306301,-37.823188609308446,-36.23219783711341,7,42.857142857142854,473.6286139189526,mega,6691.0
MRVL,-13.67567771943697,217.46707667082714,-231.14275439026412,0.15418056949906758,0.8248960385242373,-69.48535690843664,-61.87946036062599,11,63.63636363636363,-124.32434290397237,mega,2387.7
IBIT,53.34218641478976,62.41081998875645,-9.06863357396669,0.8799018692483621,0.8136881839128471,-24.171663346695247,-49.361764608620895,5,60.0,1066.8437282957943,mega,2121.8
PDD,-47.82040895192228,-19.01764324934062,-28.802765702581667,-0.09816744936209965,0.32489709892944624,-64.95045383485964,-82.06785027587361,10,50.0,-478.20408951922275,mega,786.8
BABA,-19.405688171451523,-35.671744689224525,16.266056517773002,-0.18541056792867716,0.08971601486070208,-41.210574735593106,-73.32291439502183,9,33.33333333333333,-215.61875746057225,mega,1539.3
7747.HK,622.6196639128137,951.4151942819124,-328.79553036909874,4.064063904323296,3.7015076414231327,-30.520765267998804,-48.056602478027365,2,100.0,31130.983195640685,large,111.7
002094.SZ,39.45355970085864,80.46647045906975,-41.012910758211106,0.44529054968454823,0.595437071056214,-69.36832576672244,-69.87951777564416,12,50.0,328.77966417382197,mid,18.6
301236.SZ,-24.06559052477208,50.505420109573265,-74.57101063434534,0.06397754476975259,0.5728985123607429,-66.04001432944374,-51.77146262223824,8,37.5,-300.8198815596509,large,97.0
601020.SS,91.83798792116029,435.9271895049722,-344.0892015838119,0.6499035004663165,1.1160618343847584,-56.292218427703574,-50.52687650626404,11,45.45454545454545,834.8907992832754,large,132.4
603977.SS,13.169913635389713,91.07349285921126,-77.90357922382154,0.29226366176197344,0.6354487818602259,-32.72305626792698,-38.915851179585815,12,58.333333333333336,109.7492802949144,large,60.6
000807.SZ,-52.07750014063153,245.37155291567467,-297.44905305630624,-0.29695584250649293,0.9476702940756844,-80.6168716156044,-59.64242475091257,8,25.0,-650.9687517578941,large,310.1
605117.SS,14.66497393567437,1415.418612250178,-1400.7536383145039,0.30287031916501644,1.4788215999561072,-57.073021497576335,-77.49934690886224,7,28.57142857142857,209.49962765249086,large,347.6
301220.SZ,19.906512401398796,16.37617082752902,3.5303415738697748,0.3798780271168331,0.3804639188665483,-44.20340329396849,-52.79331055049317,8,25.0,248.83140501748517,mid,28.8
300718.SZ,114.04268960186495,491.3726861591549,-377.32999655729,0.6780106714989927,1.0863642255603767,-57.03700501735949,-55.3775204488644,11,27.27272727272727,1036.7517236533174,mid,49.4
000938.SZ,-3.1682944328541995,45.306933817117205,-48.47522824997141,0.16971135925390982,0.4767020934678047,-43.76746614867346,-60.02717002776827,9,55.55555555555556,-35.203271476157624,large,375.9
300913.SZ,218.1171962352475,366.094704811736,-147.9775085764885,0.8579338619196719,0.9621859161855576,-47.30672745039365,-64.05728817348029,6,66.66666666666666,3635.2866039207915,mid,47.0
603616.SS,-38.755649827198354,3.58469749704087,-42.340347324239225,-0.0675830906856311,0.3297635256804531,-68.54045799870282,-77.093848111495,8,25.0,-484.4456228399794,mid,30.1
603200.SS,222.45537710153337,402.0873144482506,-179.63193734671722,0.9043956639565772,1.0870849695897122,-51.33295831882116,-53.92494577014724,10,50.0,2224.553771015334,large,49.4
600843.SS,7.210949961353054,69.39367349001033,-62.18272352865728,0.29819014837342206,0.5626245728759879,-55.264603652247104,-50.41186108194642,6,50.0,120.18249935588415,mid,11.1
000099.SZ,123.68014016039727,172.39706222592116,-48.716922065523896,0.7360236596633652,0.8331872638691115,-48.65082434077084,-49.91524408321069,7,71.42857142857143,1766.859145148533,mid,34.8
001696.SZ,55.061525587859215,240.05515949040358,-184.9936339025444,0.5193687264371539,0.9277411411211531,-47.10424505094019,-47.104245050940264,10,40.0,550.6152558785922,large,134.4
600938.SS,134.61171161713196,249.65267055193087,-115.04095893479891,1.1737836673498954,1.3201718713011363,-24.198208059802205,-31.086003584942368,7,71.42857142857143,1923.0244516733135,large,552.8
603737.SS,48.65561571099799,-30.14460592307508,78.80022163407307,0.5347374082651744,0.093911000146145,-43.843013979050326,-79.97266540820456,8,50.0,608.1951963874749,mid,27.9
601212.SS,117.90091379563546,196.4083802111971,-78.50746641556165,0.7496409055846892,0.8974832356556715,-50.69124438429272,-50.69124438429271,9,55.55555555555556,1310.0101532848385,large,185.6
600362.SS,99.7235138927185,103.73121054307394,-4.007696650355442,0.7289254799611958,0.7026983684560469,-47.70454110809108,-49.89868851775543,8,50.0,1246.5439236589814,large,243.1
600309.SS,-10.000702616254475,-13.123005358975515,3.1223027427210392,-0.0036598444120734515,0.07154314167715078,-42.5369056950194,-55.6011560238898,8,50.0,-125.00878270318083,large,453.6
601919.SS,91.13293503583172,125.59822086049026,-34.465285824658544,0.8306309980448032,0.7756779673491752,-31.52699581360028,-53.85558418676539,9,77.77777777777779,1012.5881670647968,large,255.3
601288.SS,120.38539101318129,192.78999187599237,-72.40460086281108,1.3858107262917112,1.620556637751743,-13.696812912867562,-24.323341575097977,6,50.0,2006.4231835530215,large,339.4
601838.SS,2.596696610682375,102.81391122748163,-100.21721461679924,0.158431831532405,0.8100387701441035,-32.49311748807347,-31.323477213576457,8,50.0,32.45870763352963,mid,56.0
601899.SS,367.4498730004239,263.4505673426407,103.99930565778321,1.3904903216135611,1.098506078109692,-29.620254575946614,-40.12235717637618,10,60.0,3674.4987300042385,mega,1435.7
601088.SS,125.33486445426564,245.21302366885155,-119.87815921458589,1.0469400191870766,1.203941515688794,-16.07691434791304,-21.008748346659,9,66.66666666666666,1392.6096050473961,large,278.2
603667.SS,872.6339601753956,779.0895030067136,93.5444571686821,1.4010239527291368,1.2430426770307006,-42.086469907343314,-57.80669419632323,5,80.0,17452.679203507912,large,181.2
688003.SS,53.86869124068746,137.26444938294523,-83.39575814225778,0.511089709966725,0.7204768008907149,-43.05766190874058,-55.17959237445211,8,50.0,673.3586405085931,mid,29.3
002353.SZ,67.78329155189112,273.7305171501663,-205.94722559827514,0.5781994295407258,1.0079953937621196,-51.27211475052378,-55.24640760162529,9,44.44444444444444,753.1476839099012,large,360.6
601100.SS,13.160970850698742,21.283389062659623,-8.122418211960882,0.2715007464744299,0.37333907229775715,-28.448227582628615,-64.08051492872072,8,25.0,164.51213563373392,large,160.9
300121.SZ,72.35721348709369,4.207579170864392,68.1496343162293,0.6026994635240629,0.2924684018927191,-46.557083001098164,-51.436587791608865,12,58.333333333333336,602.976779059114,mid,31.8
003816.SZ,27.37048003547583,90.29367074011898,-62.92319070464315,0.4919899507374046,0.8316642912594543,-31.798555681105768,-34.54894528424271,8,37.5,342.13100044344753,large,152.7
601985.SS,36.7043839422277,91.01979961225123,-54.315415670023526,0.5417121262209459,0.7543749368320011,-40.237042938803825,-29.42348841294291,10,30.0,367.04383942227724,large,251.8
603568.SS,-6.2251589648546535,23.403325995895084,-29.628484960749734,0.1128240670263521,0.35701900292770467,-57.934573147080684,-55.100473278798525,10,30.0,-62.2515896485466,mid,22.9
600611.SS,-69.59338272636852,36.149005367318715,-105.74238809368724,-0.7812577310377293,0.4312416493959351,-72.04867264672414,-59.54734034590853,8,0.0,-869.9172840796066,mid,11.1
002716.SZ,326.16412805210473,391.53223736415185,-65.36810931204715,1.1359020200142014,1.0949991338398142,-39.29077832541279,-52.67857418452593,9,44.44444444444444,3624.0458672456075,large,318.0
603225.SS,11.266303204807283,9.81939851271054,1.4469046920967412,0.269497319100366,0.2994914910078557,-41.716863983776086,-65.4395851008766,8,62.5,140.8287900600909,large,76.6
600323.SS,6.348887467159929,26.94265555041271,-20.59376808325278,0.19637011798602994,0.3878770903307534,-38.84664332470855,-45.047576321036985,10,30.0,63.48887467159915,mid,25.2
002085.SZ,79.61491130980434,181.07053130578512,-101.45561999598078,0.6044973171303539,0.829960058470639,-39.110733449980074,-45.542949359960474,8,50.0,995.186391372554,mid,68.0
002911.SZ,27.738300538130606,95.34807264664796,-67.60977210851735,0.38327894083304836,0.6699493655096767,-41.2073792488931,-38.241880358157076,7,57.14285714285714,396.2614362590085,mid,23.7
601918.SS,129.1606457798781,145.4122729815456,-16.251627201667507,0.8217000390717485,0.8031441887287096,-42.63455978078616,-42.63455978078614,8,50.0,1614.5080722484768,large,74.6
601881.SS,-9.147158420045816,42.229753781323595,-51.37691220136942,0.07725286981455803,0.4597979579906172,-40.49561655748604,-34.143026388475086,9,44.44444444444444,-101.63509355606476,large,70.7
002126.SZ,141.3901004059955,363.608986133258,-222.2188857272625,0.8133961417838912,1.0794268579204425,-38.440113175180436,-46.02150447544439,9,77.77777777777779,1571.0011156221724,large,152.3
600120.SS,16.107713842632965,36.179840449252005,-20.07212660661904,0.3061522317588361,0.42902994954128043,-44.66982788155287,-40.088601854973426,9,22.22222222222222,178.97459825147735,mid,36.0
300520.SZ,44.65515656185477,126.09645612729167,-81.4412995654369,0.5016414476427763,0.6983743562750608,-66.04704798341537,-61.17241300385577,5,60.0,893.1031312370955,large,77.9
688027.SS,139.69230603829183,218.268220791222,-78.57591475293017,0.7663512334091357,0.8508308978257824,-58.50044291144998,-66.82124125181265,7,71.42857142857143,1995.604371975598,large,210.4
002130.SZ,253.40314398933236,296.949501552157,-43.54635756282463,0.9557953711699121,0.9848985605273345,-51.37513114919585,-49.643944048393266,7,57.14285714285714,3620.0449141333193,large,197.4
002484.SZ,70.11470611146467,166.78086415623736,-96.66615804477269,0.5732075279159085,0.7884998923536487,-59.42569966032616,-59.65625806682762,9,55.55555555555556,779.0522901273856,large,115.6
601728.SS,66.29368631712467,17.6196125264715,48.67407379065317,0.7408000599830019,0.32311835372219294,-25.90327047999731,-37.15221020468709,8,62.5,828.671078964058,large,125.0
600050.SS,74.32170012342792,28.621569614578945,45.70013050884897,0.7071038670162586,0.38784309304512143,-21.476000834310828,-33.959769004439146,9,55.55555555555556,825.7966680380878,large,127.3
000886.SZ,28.533521938668837,23.286244159294093,5.247277779374746,0.3892054551164994,0.3757848085080957,-46.8799024675921,-44.77702765959655,10,50.0,285.3352193866882,mid,11.6
002513.SZ,20.797712682199382,34.42265514556104,-13.624942463361656,0.33891431423774526,0.4641961077704055,-48.89922900704945,-60.23018124262911,9,55.55555555555556,231.08569646888213,mid,13.6
600585.SS,-7.666897799944163,-43.34486572283524,35.67796792289108,0.04687573750145027,-0.32801938954385745,-42.99331090733737,-52.72573727876506,7,42.857142857142854,-109.52711142777395,large,94.5
603168.SS,-19.75136507686245,-6.943732747448521,-12.807632329413925,0.05613320733886618,0.23862966126573487,-56.28843652360062,-60.572409223271265,9,44.44444444444444,-219.45961196513838,mid,12.2
002615.SZ,117.1449314067653,107.66714711592738,9.47778429083792,0.7997025965691292,0.6773833814884112,-31.564029318901277,-42.286349425588945,13,61.53846153846154,901.1148569751181,mid,13.4
002459.SZ,37.933613131232214,-23.564067703489044,61.49768083472126,0.43905465226794416,0.1864048103074101,-48.63755437702378,-83.71641445759028,9,33.33333333333333,421.4845903470246,large,164.8
601600.SS,24.43951219428864,208.73642524999454,-184.29691305570591,0.3704748894734426,0.9068135203165258,-64.9318057879785,-62.003439565856766,7,57.14285714285714,349.1358884898375,large,597.4
002594.SZ,96.99570670470003,85.98209616897773,11.013610535722297,0.7129939298188279,0.6345768195702005,-41.68987559923555,-52.535707712338095,9,55.55555555555556,1077.7300744966667,mega,1034.5
300773.SZ,-27.576728818963193,-4.711869177639364,-22.86485964132383,0.06900871641516913,0.29143901942979467,-69.91698330850551,-66.63534156480888,11,45.45454545454545,-250.69753471784725,large,206.4
600988.SS,62.76588343327383,169.89027186757352,-107.1243884342997,0.6116592421971158,0.8266704134353323,-34.146441161001675,-48.30769383076409,7,42.857142857142854,896.6554776181977,large,360.9
002028.SZ,317.47276918459784,658.7650318188397,-341.2922626342418,1.244541250240385,1.479658529912862,-44.90264912325138,-56.17391030571503,9,66.66666666666666,3527.475213162199,large,292.9
300748.SZ,227.49763086019618,140.75609708876058,86.74153377143561,0.9276440354280926,0.7295849704449406,-45.98043449819021,-67.72577496007709,8,75.0,2843.720385752453,large,132.3
002428.SZ,174.07296183090247,538.2899112293657,-364.21694939846316,0.8150980821832601,1.2009430985661302,-57.63007684639723,-53.558720336096336,7,42.857142857142854,2486.756597584321,mega,512.3
603117.SS,4.745283848844265,30.908615431236285,-26.16333158239202,0.21986248895235605,0.409978629829866,-43.89989542399421,-53.51239815980271,8,25.0,59.316048110553425,mid,10.2
000603.SZ,165.4018508376,192.821908215972,-27.420057378372007,0.8421907920659782,0.8385664190971622,-48.24483986261689,-61.63032396762683,10,50.0,1654.018508376,large,141.3
000426.SZ,196.21297605196634,571.9962145619995,-375.7832385100332,0.9557784335444748,1.303106330428869,-53.19194519926509,-51.27081255817709,9,55.55555555555556,2180.144178355182,large,395.2
000036.SZ,2.8559107681578646,43.04842275606426,-40.1925119879064,0.2212995704627389,0.46415710097023205,-44.90221520016827,-47.580643548677635,8,50.0,35.698884601973134,mid,29.9
000063.SZ,-47.69054127895395,32.80320786275055,-80.49374914170451,-0.3338804565250938,0.41955916349298816,-58.43663092997362,-52.34958119358626,10,20.0,-476.9054127895399,large,380.3
603878.SS,125.37719236499963,83.35101549884256,42.02617686615707,0.8000378834422013,0.6208959272686725,-41.990289033539696,-45.22582829189723,9,44.44444444444444,1393.079915166662,mid,17.3
300433.SZ,-34.36226700539307,6.978775993654526,-41.341042999047595,-0.010740471793198461,0.31977525197422085,-64.74500257954602,-69.82168875024442,9,44.44444444444444,-381.8029667265897,large,249.8
603979.SS,15.68058463901558,356.5295124131278,-340.84892777411227,0.30484658379662966,1.126319951173905,-46.74052854416727,-44.32791710938706,10,30.0,156.8058463901557,large,96.4
002371.SZ,-30.502731750883793,285.6527135162964,-316.15544526718014,-0.04542966002809084,0.9963992245290565,-52.69559452356047,-53.46316599840558,9,22.22222222222222,-338.91924167648665,mega,453.2
600171.SS,94.64518519828825,69.01529947935775,25.629885718930502,0.6518355929861976,0.5610903963694229,-63.057470478280585,-70.90449493219691,8,25.0,1183.0648149786034,mid,41.5
002472.SZ,-24.780017331462943,271.8573866716049,-296.6374040030679,-0.04067041714150981,0.9533952770680199,-53.09506781033715,-52.09772346064179,8,37.5,-309.7502166432868,large,72.0
603019.SS,49.55546149210717,211.58260726636055,-162.0271457742534,0.49133309428435057,0.8756186589409463,-56.09466807324417,-50.64311609416811,8,50.0,619.4432686513392,large,399.2
300014.SZ,-10.276460329294896,-10.67185814978713,0.3953978204922354,0.10282173864671958,0.25957976998489435,-51.28484033877329,-78.56536933652367,10,40.0,-102.76460329294935,mega,722.1
603806.SS,-44.664285093738336,-31.176279276361683,-13.488005817376653,-0.16694502787879423,0.09994923456481852,-75.47831205278787,-79.71717960252981,13,38.46153846153847,-343.5714237979872,large,143.9
002724.SZ,-52.04413575193,-23.18595116482121,-28.85818458710879,-0.7895107162755178,0.13350605299730978,-54.966298829650604,-80.18610394732072,7,0.0,-743.4876535989999,mid,16.4
688981.SS,31.57694939624247,93.93385762361991,-62.35690822737744,0.40148420239930016,0.6403278217921233,-51.302402433880026,-45.40468080212017,10,50.0,315.76949396242446,mega,503.3
159660.SZ,86.44339042055465,107.30731456377724,-20.8639241432226,1.4075897360813339,1.5485746714044748,-20.750557441559337,-27.19016823920616,2,100.0,4322.169521027732,mid,12.4
