symbol,rule_return_%,bh_return_%,alpha_%,rule_sharpe,bh_sharpe,rule_maxdd_%,bh_maxdd_%,n_trades,win_rate_%,expectancy_%,size,adv_usd_m
SPY,82.70920819489672,299.1917957071044,-216.48258751220772,0.6184387828882937,1.0398963856628776,-35.2686563720924,-33.71724347445537,17,70.58823529411765,486.524754087628,mega,62530.5
QQQ,513.4508729177594,527.4004085026997,-13.949535584940342,1.3836513417010663,1.1299152957611462,-28.55937559149965,-35.11872087178528,15,93.33333333333333,3423.005819451729,mega,40007.5
IWM,57.63074029325745,179.0948814437798,-121.46414115052234,0.4054416883067583,0.6776436656936474,-46.910575263510914,-41.13331996566379,17,47.05882352941176,339.00435466622054,mega,12366.6
DIA,82.53290444263719,235.14521465119316,-152.61231020855598,0.5550885078488568,0.9387881573913109,-37.28325977025653,-36.69608895013956,16,62.5,515.8306527664827,mega,3426.2
XLK,350.30397445332756,679.5909708854338,-329.28699643210626,1.1192340875421698,1.164231288192447,-31.153221779931705,-33.559073995468246,14,78.57142857142857,2502.1712460951967,mega,2337.6
XLF,82.5493246973641,234.7803330274281,-152.23100833006401,0.5900707324706987,0.7915083618197886,-28.97241722858507,-42.86253482579281,18,66.66666666666666,458.60735942980045,mega,2767.0
XLE,23.777631887878943,150.03695666237041,-126.25932477449149,0.2572879685557735,0.5538768215507489,-58.05625011857371,-66.81303417069815,21,57.14285714285714,113.22681851370913,mega,3619.5
XLV,80.2494429975608,142.91025651824046,-62.660813520679646,0.6217991722344404,0.747918842887164,-28.404323710186162,-28.40432371018614,25,64.0,320.9977719902431,mega,2197.6
XLI,124.07900604489058,268.1842822630615,-144.10527621817096,0.9570654842722496,0.9098223608962276,-18.24469348185096,-42.33410124601982,11,54.54545454545454,1127.9909640444594,mega,2404.8
XLY,191.31901191938283,234.61716541054258,-43.29815349115975,0.8523793561789342,0.7950819182632604,-33.91023764915564,-39.66957763351013,12,83.33333333333334,1594.3250993281904,mega,1250.7
XLP,56.467096080157184,107.95790242752182,-51.490806347364625,0.504400768469358,0.6896898349119929,-24.512271071768975,-24.512271071768943,15,60.0,376.44730720104826,mega,1510.7
XLU,49.59448837116657,168.01852673131648,-118.42403836014992,0.39883718232495263,0.7357817359297656,-36.06676750431904,-36.06676750431902,18,61.111111111111114,275.5249353953699,mega,1232.1
XLB,50.571079390424366,172.4196372097114,-121.84855781928702,0.45187687423124895,0.7110150725554742,-26.77543117920734,-37.27416246955882,17,47.05882352941176,297.4769375907314,mega,800.1
XLRE,76.44736862904993,102.10578746567087,-25.658418836620946,0.5798869158357566,0.5399145050327397,-24.584964299856537,-38.82478719678264,21,57.14285714285714,364.0350887097617,large,388.0
XLC,147.34736345280274,156.34486394978245,-8.997500496979693,0.9606316126041446,0.7846326152394938,-30.14936977661179,-46.65361219735431,11,81.81818181818183,1339.5214859345706,mega,923.1
510300.SS,31.787752077119112,79.37969269600973,-47.59194061889062,0.34558111909254513,0.5061491686240341,-39.08275086973053,-42.15702301031369,13,46.15384615384615,244.52116982399326,large,436.1
159915.SZ,152.751014682854,81.57763583758543,71.17337884526856,0.6162331779867906,0.4315791987175775,-48.761470540448705,-56.58465895446385,17,47.05882352941176,898.5353804873763,mega,552.0
510500.SS,11.700768525946586,59.413856933441714,-47.71308840749512,0.1854263623908338,0.39596203441706646,-41.26187269157862,-39.48104453212367,15,26.666666666666668,78.00512350631061,mega,532.9
510050.SS,12.360050671770786,67.14337797580451,-54.783327304033726,0.20020465347795774,0.46484735698544905,-26.19531015988691,-41.8806184454109,18,61.111111111111114,68.6669481765042,large,278.3
588000.SS,46.851898433097155,3.755765000259944,43.09613343283721,0.4805809371139677,0.20401356736926812,-48.106632694041764,-59.6407160409667,5,40.0,937.0379686619433,mega,513.5
^HSI,7.91329923424606,21.88583952872619,-13.972540294480131,0.15165748834636897,0.2435793886728726,-38.885817419246585,-55.70077249305001,19,52.63157894736842,41.648943338137315,mega,12015539.1
^HSTECH,-15.44671536659227,-35.892323706341536,20.445608339749263,-0.05524440594685523,-0.13199252950867926,-31.506845586748934,-61.95546857906218,5,40.0,-308.93430733184545,mega,652.3
GLD,145.0624746977998,270.19762444851085,-125.13514975071105,0.9259921711974215,1.0903790920085146,-19.209514099718206,-22.002168134715404,19,52.63157894736842,763.4867089357881,mega,6406.5
SLV,85.32397265654569,345.09565453949,-259.7716818829443,0.45718372591492734,0.767585714371021,-57.75321194752995,-42.80612336750188,16,43.75,533.2748291034108,mega,3104.4
USO,13.559726330698723,41.4645483591598,-27.904822028461073,0.20911617998805182,0.3457699394597593,-50.146381249456695,-86.75373056873745,18,33.33333333333333,75.33181294832627,mega,6691.0
IBIT,53.34218641478976,62.41081998875645,-9.06863357396669,0.8799018692483621,0.8136881839128471,-24.171663346695247,-49.361764608620895,5,60.0,1066.8437282957943,mega,2121.8
