symbol,rule_return_%,bh_return_%,alpha_%,rule_sharpe,bh_sharpe,rule_maxdd_%,bh_maxdd_%,n_trades,win_rate_%,expectancy_%,size,adv_usd_m
SPY,262.54897757554266,300.40281295248025,-37.85383537693758,1.3869911715139123,1.0417205288373625,-19.369687975265425,-33.717294317437286,22,81.81818181818183,1193.4044435251938,mega,61792.1
QQQ,557.833051322564,530.0631137337145,27.76993758884938,1.4013588366543548,1.1319775555838338,-28.559355547741472,-35.11873367726961,20,80.0,2789.1652566128196,mega,39418.2
IWM,98.71501786307442,181.04678180964595,-82.33176394657153,0.5533265715636057,0.681149633503435,-34.957022660810665,-41.133280795252524,17,58.82352941176471,580.6765756651437,mega,12151.5
DIA,134.58128941325214,237.18926067684887,-102.60797126359674,0.7220273411665399,0.9427519086833134,-36.69607277413286,-36.69607277413284,16,68.75,841.1330588328258,mega,3374.8
XLK,285.0207664715873,686.5012163259164,-401.4804498543292,0.9426754348479085,1.1683274331319469,-33.475629608250635,-33.559072467679606,20,50.0,1425.1038323579364,mega,2288.1
XLF,216.5046699434566,236.87949690149588,-20.37482695803927,0.9420994261656264,0.794736220998199,-31.02556170026939,-42.862541705811076,13,61.53846153846154,1665.4205380265898,mega,2708.4
XLE,117.62127311069091,150.05964159618128,-32.43836848549038,0.5055573834390475,0.5538037378816169,-60.94634693272296,-66.81303762408342,14,71.42857142857143,840.1519507906493,mega,3580.9
XLV,117.79279713130147,142.52299019672856,-24.7301930654271,0.7130118494362349,0.7466005316327218,-28.404301819227275,-28.404301819227296,17,64.70588235294117,692.8988066547145,mega,2155.0
XLI,217.88806422306766,267.8878729668907,-49.99980874382306,1.0756032024364568,0.9091519085470385,-26.94066076975584,-42.33409478619843,23,52.17391304347826,947.3394096655115,mega,2357.3
XLY,119.18627820085166,236.79453234615355,-117.6082541453019,0.6355864444047306,0.798460204901103,-33.78539185747373,-39.66957763351019,16,56.25,744.9142387553231,mega,1229.0
XLP,97.57671685566656,107.37747757220164,-9.800760716535073,0.7835531020858755,0.687247034194305,-18.602791809880248,-24.512257187285492,10,70.0,975.7671685566656,mega,1481.9
XLU,71.90828621393102,165.99742598592135,-94.08913977199033,0.4709720864171257,0.7308289581370513,-36.06677403271811,-36.06677403271814,19,52.63157894736842,378.4646642838475,mega,1211.1
XLB,108.79687998441034,173.20206494723024,-64.4051849628199,0.5873726777227216,0.7125499429212382,-37.38522881269941,-37.27416508921523,14,64.28571428571429,777.1205713172164,mega,786.1
XLRE,111.46446109266724,100.97392260103707,10.490538491630153,0.7007572883637194,0.5364717917001615,-24.58497280647317,-38.82476352112286,16,68.75,696.6528818291702,large,381.1
XLC,129.71945360320177,156.84137072233938,-27.121917119137628,0.8474260465528547,0.7857684049731739,-35.112888280806146,-46.653583021177006,12,66.66666666666666,1080.9954466933482,mega,903.9
510300.SS,89.05645076219045,80.47553764053596,8.580913121654499,0.5910803602068663,0.5101457458979215,-30.701929973295737,-42.15702301031371,17,41.17647058823529,523.8614750717084,large,433.5
159915.SZ,115.97973400872603,83.77433628160578,32.20539772712024,0.5222334843999663,0.4367386543029947,-48.259867653175014,-56.58465895446385,17,29.411764705882355,682.2337294630943,mega,552.2
510500.SS,42.673087875365326,60.22161482799998,-17.548526952634653,0.33596903446685517,0.3987042350161975,-40.58158229624497,-39.48104052504945,12,50.0,355.60906562804445,mega,533.2
510050.SS,65.18974894271648,67.70122126647955,-2.5114723237630754,0.48421387687514855,0.4670453358966281,-30.93677986103911,-41.88062871939594,14,50.0,465.64106387654635,large,275.8
588000.SS,4.042977375704231,4.450247389585366,-0.40727001388113426,0.20361839780507351,0.20913842104945735,-59.10534311775242,-59.6407160409667,3,33.33333333333333,134.76591252347407,mega,514.7
^HSI,1.8188638276386881,22.501036981581475,-20.682173153942784,0.12025394344195929,0.24641100637681285,-56.33253589822779,-55.70077249305001,17,41.17647058823529,10.699198986109877,mega,12015539.1
^HSTECH,-23.02857850854216,-35.39381970563983,12.365241197097667,-0.04677027539409948,-0.126163347180334,-48.73345977294332,-61.95546857906218,8,25.0,-287.8572313567772,mega,651.9
GLD,187.30386202309506,267.41751443752094,-80.1136524144259,0.9724287189451221,1.0843184673769317,-20.88147768826595,-22.002168134715404,20,55.00000000000001,936.5193101154755,mega,6267.5
SLV,158.2735334905519,339.51268828156,-181.23915479100808,0.5816534946876969,0.7625435690402804,-56.78391957818265,-42.80612336750188,30,43.333333333333336,527.5784449685066,mega,3010.0
USO,-23.191120325803293,43.03287996736868,-66.22400029317197,0.106474498730167,0.3491500866669097,-78.30765039776348,-86.75373056873745,25,40.0,-92.76448130321307,mega,6578.5
IBIT,43.18012029054666,61.30305364162143,-18.12293335107477,0.7187427314158947,0.8057823562050533,-38.66372146034281,-49.361764608620895,4,50.0,1079.5030072636664,mega,2084.7
