symbol,rule_return_%,bh_return_%,alpha_%,rule_sharpe,bh_sharpe,rule_maxdd_%,bh_maxdd_%,n_trades,win_rate_%,expectancy_%,size,adv_usd_m
SPY,13.624636894619488,299.5861171330799,-285.9614802384604,0.19797089144854102,1.0403538403584571,-28.31904332515296,-33.717266428472705,12,66.66666666666666,113.53864078849548,mega,61788.2
QQQ,77.90395743056683,527.4974926496446,-449.5935352190779,0.6259787696066117,1.1297741115121065,-25.225768067788113,-35.11871971603235,11,90.9090909090909,708.2177948233349,mega,39413.5
IWM,168.36540498249258,180.36081292541394,-11.995407942921377,0.8541588791599637,0.6798771631568303,-26.923949333191143,-41.133297951744005,17,76.47058823529412,990.3847351911328,mega,12150.1
DIA,59.177484124251,237.32475998007533,-178.14727585582432,0.5100433010568938,0.943024067556877,-31.08337933758407,-36.69607701677911,16,93.75,369.85927577656884,mega,3374.3
XLK,110.47991881049781,681.0034175076871,-570.5234986971893,0.7282806329240784,1.1648966971837764,-19.747632306864006,-33.559071000332494,14,85.71428571428571,789.1422772178413,mega,2287.8
XLF,68.3450076095061,237.42015712181828,-169.07514951231218,0.46181335210597135,0.7955976613389346,-36.279960007160085,-42.86251811680701,16,81.25,427.156297559413,mega,2707.8
XLE,76.3620894158729,150.4229254491978,-74.06083603332492,0.4625403581051349,0.5543974857342604,-60.06355999220365,-66.81304559178953,20,75.0,381.8104470793644,mega,3580.7
XLV,40.2926337283819,141.29555134291806,-101.00291761453617,0.4167870341368148,0.7428481164718256,-28.136701036766134,-28.404315650058965,14,71.42857142857143,287.8045266312991,mega,2154.6
XLI,80.18619231040931,269.0100259846786,-188.82383367426925,0.5571462167367411,0.9109964727851074,-42.334073494800386,-42.33407349480037,18,83.33333333333334,445.4788461689409,mega,2357.0
XLY,72.46779381712763,236.34781041943847,-163.88001660231086,0.5318418007730101,0.7977401492561553,-29.655368172817397,-39.669569364787215,15,73.33333333333333,483.11862544751705,mega,1228.9
XLP,13.82026586441405,107.25114671235991,-93.43088084794586,0.21286025046157006,0.6867419104273855,-22.637591009649928,-24.512250245043777,14,50.0,98.716184745815,mega,1481.8
XLU,72.92877448941431,166.73852213868884,-93.80974764927453,0.6983092390077227,0.7326040970778172,-20.746671404953922,-36.066752628284874,19,84.21052631578947,383.8356552074437,mega,1210.9
XLB,85.54095418476132,173.41065344658068,-87.86969926181936,0.6060896341594741,0.7129942639124409,-36.7007275663496,-37.27419415937596,19,89.47368421052632,450.215548340849,mega,786.0
XLRE,48.88069021271554,101.74358226839612,-52.862892055680575,0.4337060529936257,0.5387440289646374,-28.40057337026971,-38.82475666253262,15,53.333333333333336,325.87126808477035,large,381.1
XLC,15.974654710340037,156.53915959300505,-140.56450488266503,0.24906254304462172,0.7849568573396465,-29.14043386472732,-46.65359698616851,11,72.72727272727273,145.224133730364,mega,903.9
510300.SS,42.13755944396433,80.47553764053596,-38.337978196571626,0.4181699298012311,0.5101458189714199,-33.80354076345776,-42.15701776010696,16,75.0,263.359746524777,large,433.5
159915.SZ,30.86948781067809,83.77433628160578,-52.90484847092769,0.2870746469244067,0.4367386543029947,-38.32641520080411,-56.58465895446385,17,64.70588235294117,181.5852224157535,mega,552.2
510500.SS,-6.193032993420839,60.22161482799998,-66.41464782142081,0.03319915557394949,0.3987042484546553,-46.60143307127286,-39.48104453212367,15,66.66666666666666,-41.286886622805525,mega,533.2
510050.SS,112.19225341227236,67.70126587868307,44.49098753358929,0.8774600356833567,0.46704550214733237,-22.801711004447288,-41.880624943024124,22,72.72727272727273,509.96478823760174,large,275.8
588000.SS,-3.571891514891322,4.450247389585366,-8.022138904476687,0.08829054804377341,0.20913842104945735,-61.41810071975924,-59.6407160409667,12,50.0,-29.765762624094293,mega,514.7
^HSI,3.694985376720688,22.501036981581475,-18.806051604860784,0.12783049430944118,0.24641100637681285,-39.86601929907755,-55.70077249305001,19,47.368421052631575,19.44729145642475,mega,12015539.1
^HSTECH,-21.16047964300379,-35.39381970563983,14.233340062636039,-0.08464400375565972,-0.126163347180334,-53.52937425206969,-61.95546857906218,8,50.0,-264.50599553754745,mega,651.9
GLD,42.582107693257406,268.0874343192941,-225.50532662603672,0.6753927561134587,1.0857485786681134,-13.215482198734719,-22.002168134715404,19,68.42105263157895,224.1163562803022,mega,6267.1
SLV,219.24740965366107,340.0364384798254,-120.78902882616434,0.994298405206113,0.76300739550914,-23.825886383635776,-42.80612336750188,23,78.26086956521739,953.2496071898308,mega,3009.7
USO,-38.48271088719494,41.69775375008841,-80.18046463728335,-0.027683940188156734,0.34621583625555724,-81.1170198150362,-86.75373056873745,18,72.22222222222221,-213.79283826219398,mega,6578.3
IBIT,36.346677843301514,61.69734408677856,-25.35066624347705,0.7337451118651273,0.8083494205295277,-34.88456102390769,-49.361764608620895,3,66.66666666666666,1211.5559281100504,mega,2084.5
