symbol,rule_return_%,bh_return_%,alpha_%,rule_sharpe,bh_sharpe,rule_maxdd_%,bh_maxdd_%,n_trades,win_rate_%,expectancy_%,size,adv_usd_m
SPY,87.08858571319062,299.63108431765426,-212.54249860446365,0.686169606181893,1.0404293251410968,-22.244970193050463,-33.71726482138067,12,91.66666666666666,725.7382142765885,mega,61788.3
QQQ,69.15357587102314,527.599279558665,-458.4457036876418,0.49222450347942115,1.129861687455789,-28.495169276727005,-35.118715832787814,11,90.9090909090909,628.6688715547558,mega,39413.5
IWM,56.15007200316482,180.4734309293528,-124.32335892618798,0.4328255215704485,0.6800867058664813,-30.85176529214041,-41.133301947794635,12,50.0,467.91726669304023,mega,12150.1
DIA,85.04525394011138,237.3417401998514,-152.29648625974002,0.6378867500837417,0.9430579671974417,-25.46480951590113,-36.696080093066094,13,92.3076923076923,654.1942610777799,mega,3374.3
XLK,183.9821695112872,681.2809493097063,-497.29877979841916,0.8321091118410446,1.1650724371829828,-24.589689900154433,-33.559068065637376,13,84.61538461538461,1415.2474577791324,mega,2287.8
XLF,102.52333877381903,237.5474827658292,-135.02414399201015,0.6140708005086851,0.7957997728495915,-32.7000205071614,-42.862543670044296,14,85.71428571428571,732.3095626701358,mega,2707.8
XLE,180.31895942234527,150.3774645350302,29.941494887315056,0.7125183947406573,0.5543233276742419,-53.586334531287875,-66.8130387451474,16,87.5,1126.9934963896583,mega,3580.7
XLV,99.19543727579548,141.3448906138361,-42.14945333804062,0.7600319931472524,0.743000390288687,-21.2868086056627,-28.404316841913946,18,77.77777777777779,551.0857626433082,mega,2154.6
XLI,91.41531392939032,269.0947924427726,-177.67947851338226,0.6081790925419971,0.911135122122728,-32.19588367467302,-42.33409478619843,14,92.85714285714286,652.9665280670738,mega,2357.0
XLY,64.87623640186489,236.3757313811803,-171.49949497931541,0.4596586978729217,0.797785565007181,-32.369859589466785,-39.66956936478711,15,86.66666666666667,432.50824267909945,mega,1228.9
XLP,74.31739316911822,107.2890660542906,-32.97167288517239,0.7318495548596168,0.6868935510563027,-18.68500563536091,-24.512224177774733,14,78.57142857142857,530.8385226365588,mega,1481.8
XLU,74.94256557493254,166.8174990437959,-91.87493346886335,0.5749921841256175,0.7327927290504265,-25.43890834171002,-36.066775851951064,13,84.61538461538461,576.481273653327,mega,1210.9
XLB,129.64148939978207,173.4106262468939,-43.76913684711185,0.7622761762684921,0.7129942673880572,-23.536898039562093,-37.274190581859344,18,88.88888888888889,720.2304966654555,mega,786.0
XLRE,78.27409195644103,101.74356484694584,-23.469472890504818,0.5421836611626453,0.538743881350976,-31.634403304885495,-38.824775985401885,17,70.58823529411765,460.4358350378883,large,381.1
XLC,4.3784953048354325,156.54607679410785,-152.16758148927244,0.1422796603460175,0.7849749958174881,-44.19610314519878,-46.65360226426455,10,70.0,43.78495304835417,mega,903.9
510300.SS,16.506657822102135,80.47557015993694,-63.9689123378348,0.22567586565088532,0.5101459054173806,-27.468154115888254,-42.15702301031368,13,69.23076923076923,126.97429093924711,large,433.5
159915.SZ,35.08469965767846,83.77433628160578,-48.68963662392732,0.3035509893510136,0.4367386543029947,-44.501294882193946,-56.58465895446385,13,61.53846153846154,269.8823050590652,mega,552.2
510500.SS,16.45979304563867,60.22161482799998,-43.76182178236131,0.21672557334001116,0.39870423018585105,-36.706457479245515,-39.48105115331182,10,70.0,164.59793045638662,mega,533.2
510050.SS,11.769462796979479,67.70127703173769,-55.931814234758214,0.18393840585250984,0.46704554154353295,-34.02856982078423,-41.88062494302396,12,50.0,98.0788566414958,large,275.8
588000.SS,0.2182692735026649,4.450247389585366,-4.231978116082701,0.1497576888311919,0.20913842104945735,-46.30780320431466,-59.6407160409667,8,37.5,2.728365918783595,mega,514.7
^HSI,-11.05688775784507,22.501036981581475,-33.55792473942654,0.0198657816578796,0.24641100637681285,-47.84523874686961,-55.70077249305001,10,60.0,-110.56887757845055,mega,12015539.1
^HSTECH,15.441495332313426,-35.39381970563983,50.83531503795326,0.3018990815219162,-0.126163347180334,-53.14834349655102,-61.95546857906218,7,71.42857142857143,220.59279046162044,mega,651.9
GLD,42.29408955815959,268.0957907488703,-225.80170119071065,0.6076353929571446,1.0857663293270223,-13.878706349699044,-22.002168134715404,13,69.23076923076923,325.33915044738154,mega,6267.1
SLV,96.73603608999855,340.0061750562556,-243.27013896625704,0.6080339347939928,0.7629806234697576,-28.497467954791645,-42.80612336750188,15,73.33333333333333,644.9069072666568,mega,3009.7
USO,-50.933791503983706,41.68609970789277,-92.61989121187648,-0.0897514386370087,0.3461901316268297,-82.52970758441187,-86.75373056873745,13,69.23076923076923,-391.79839618448983,mega,6578.3
IBIT,-0.5196985314207814,61.58467944186808,-62.10437797328887,0.19309341897895255,0.8076167244268166,-42.05457637847579,-49.361764608620895,3,66.66666666666666,-17.323284380693167,mega,2084.5
