symbol,rule_return_%,bh_return_%,alpha_%,rule_sharpe,bh_sharpe,rule_maxdd_%,bh_maxdd_%,n_trades,win_rate_%,expectancy_%,size,adv_usd_m
SPY,24.843889172785673,299.65363658381506,-274.8097474110294,0.3910845588867974,1.040467524111486,-15.833336500310057,-33.71724347445536,28,78.57142857142857,88.72817561709164,mega,61788.3
QQQ,57.32133916807032,527.6624727007379,-470.34113353266764,0.563125131717599,1.1299172248863605,-22.066052774240852,-35.118716988541124,23,86.95652173913044,249.2232137742187,mega,39413.6
IWM,44.45775298035333,180.49365336704017,-136.03590038668685,0.4697591078263061,0.680124301066913,-21.76366810240481,-41.13330938939958,33,72.72727272727273,134.72046357682834,mega,12150.2
DIA,45.09807211826068,237.369099203063,-192.2710270848023,0.6527536924103103,0.9431118358428856,-9.338401867222446,-36.69612517300451,29,75.86206896551724,155.51059351124354,mega,3374.3
XLK,88.83453251104156,681.3563798034311,-592.5218472923895,0.6982144931444103,1.1651196367017251,-25.052466123687054,-33.55906360315382,29,82.75862068965517,306.32597417600556,mega,2287.8
XLF,60.43517578451439,237.5156132407804,-177.080437456266,0.65470227885082,0.7957495854048092,-19.721729164126067,-42.86252892789308,24,75.0,251.81323243547658,mega,2707.9
XLE,30.457623855661005,150.28665550678036,-119.82903165111938,0.30531849429876506,0.5541749752727934,-33.396809032140354,-66.81305013617288,36,69.44444444444444,84.6045107101695,mega,3580.7
XLV,51.1315368722868,141.36145001723207,-90.22991314494529,0.7347884233075012,0.7430512985691803,-13.850278323304032,-28.404313360635125,31,87.09677419354838,164.94044152350585,mega,2154.6
XLI,64.80672755724325,269.1582467978304,-204.3515192405871,0.7336590679790626,0.911238650230267,-12.40636689232023,-42.33408414050047,31,77.41935483870968,209.053959862075,mega,2357.0
XLY,44.62857392389538,236.37580302066112,-191.74722909676575,0.49602034394677674,0.7977855802829089,-28.346847870257697,-39.669561096062964,28,78.57142857142857,159.38776401391186,mega,1228.9
XLP,40.08654959944581,107.35215163508245,-67.26560203563665,0.6166974548587278,0.6871458711455135,-18.13243758218229,-24.5122570518443,30,76.66666666666667,133.6218319981528,mega,1481.8
XLU,35.440213543003374,166.93478757621284,-131.49457403320946,0.4530921490349627,0.7330720483315138,-19.182576881387845,-36.06675969203182,30,73.33333333333333,118.13404514334476,mega,1210.9
XLB,27.85719375224087,173.4106806462729,-145.55348689403203,0.347533947537556,0.7129943916137558,-27.193649254503082,-37.274182722886565,26,69.23076923076923,107.1430528932342,mega,786.0
XLRE,81.95706316425229,101.74358226839612,-19.786519104143842,0.8058826758120939,0.5387441507529419,-15.265681760737504,-38.8247622682243,42,76.19047619047619,195.13586467679113,large,381.1
XLC,17.77686914008722,156.54607679410785,-138.76920765402062,0.2928128395316373,0.7849751441764465,-32.89231582290524,-46.65360754235881,23,73.91304347826086,77.29073539168337,mega,903.9
510300.SS,-17.14803712100787,80.47552138083982,-97.6235585018477,-0.2138721921439305,0.5101457098578468,-30.317962866725345,-42.15702301031358,30,56.666666666666664,-57.16012373669312,large,433.5
159915.SZ,18.451133737765357,83.77433628160578,-65.32320254384044,0.22490718575140967,0.4367386543029947,-35.609988171840065,-56.58465895446385,31,58.06451612903226,59.51978625085599,mega,552.2
510500.SS,31.623731237956164,60.221600134843335,-28.597868896887167,0.4212614699532601,0.39870418713597205,-22.071756692752984,-39.48104714623791,27,66.66666666666666,117.12493051094881,mega,533.2
510050.SS,0.48786611702960725,67.70126587868307,-67.21339976165346,0.06589183419981216,0.46704560738368806,-33.49481951148003,-41.88062494302402,30,63.33333333333333,1.6262203900986947,large,275.8
588000.SS,-35.752646823257855,4.450247389585366,-40.20289421284322,-0.5974418450648868,0.20913842104945735,-38.7033716291857,-59.6407160409667,15,46.666666666666664,-238.3509788217186,mega,514.7
^HSI,-31.986622448773232,22.501036981581475,-54.487659430354704,-0.32113628158525864,0.24641100637681285,-42.02648695743881,-55.70077249305001,34,55.88235294117647,-94.07830131992125,mega,12015539.1
^HSTECH,11.649122283882662,-35.39381970563983,47.04294198952249,0.2674438748568668,-0.126163347180334,-26.375968720535514,-61.95546857906218,18,55.55555555555556,64.71734602157034,mega,651.9
GLD,15.387852887319914,268.1879159128524,-252.8000630255325,0.25029173190474485,1.0859618765144878,-25.814003098646467,-22.002168134715404,32,59.375,48.087040272874816,mega,6267.1
SLV,-10.600076817363242,339.9796769108904,-350.57975372825365,0.02821283532812598,0.7629571794134549,-44.4835537592415,-42.80612336750188,33,54.54545454545454,-32.1214449011008,mega,3009.8
USO,-37.94129227226478,41.631645973328254,-79.57293824559304,-0.18492979377855076,0.34607000530663523,-53.64440246025997,-86.75373056873745,32,56.25,-118.56653835082739,mega,6578.3
IBIT,-19.778726570972857,61.565913938392846,-81.3446405093657,-0.368502993885093,0.807494622360359,-38.06955241531158,-49.361764608620895,6,50.0,-329.64544284954763,mega,2084.5
