symbol,rule_return_%,bh_return_%,alpha_%,rule_sharpe,bh_sharpe,rule_maxdd_%,bh_maxdd_%,n_trades,win_rate_%,expectancy_%,size,adv_usd_m
SPY,108.10729274017277,299.6481359326353,-191.54084319246252,0.9453702022422223,1.0404576576651947,-16.27266050091791,-33.71726482138071,10,80.0,1081.0729274017276,mega,61788.3
QQQ,236.58711223481345,527.710729688376,-291.1236174535625,1.1115600877690746,1.1299587933929265,-21.143551822014405,-35.11871583278783,9,88.88888888888889,2628.745691497927,mega,39413.6
IWM,76.85658042676305,180.4835252003089,-103.62694477354586,0.5519559246127468,0.6801054917171422,-29.60097010383247,-41.133281656643796,12,41.66666666666667,640.4715035563588,mega,12150.2
DIA,100.29785312962167,237.3417401998514,-137.04388707022972,0.8180327278966466,0.9430577394609407,-21.119382661952557,-36.69604965097324,10,60.0,1002.9785312962165,mega,3374.3
XLK,250.4908658806553,681.4067914714617,-430.91592559080647,1.0901700347712808,1.1651512291109587,-18.903680952172508,-33.55907546281528,9,88.88888888888889,2783.231843118391,mega,2287.8
XLF,98.51722673064526,237.51553134143103,-138.9983046107858,0.6816103529530728,0.7957492938851983,-28.895559970589566,-42.862532367901785,12,50.0,820.9768894220435,mega,2707.9
XLE,14.862835240379955,150.30936209385564,-135.4465268534757,0.22150169924148747,0.5542120991587921,-63.66485960474974,-66.81303192856875,11,36.36363636363637,135.11668400345457,mega,3580.7
XLV,35.668529387729976,141.3201299719246,-105.65160058419461,0.41479454920634645,0.7429240134500976,-16.899514605564814,-28.404313360635147,11,54.54545454545454,324.25935807027224,mega,2154.6
XLI,163.3131724649491,268.9041611019254,-105.59098863697633,1.0418921791373343,0.9108234018482655,-21.464076377400477,-42.33410618987592,9,66.66666666666666,1814.5908051661008,mega,2357.0
XLY,225.29864808247112,236.40365234292221,-11.105004260451112,1.0502291717499965,0.7978303390370561,-26.00739810377202,-39.669573886256,6,83.33333333333334,3754.977468041186,mega,1228.9
XLP,52.87892048799153,107.31439196955144,-54.43547148155991,0.558441169615651,0.6869948932913447,-17.044806752908194,-24.512262427826737,9,66.66666666666666,587.5435609776836,mega,1481.8
XLU,13.413735299435539,166.9054225467314,-153.49168724729586,0.19142592610960138,0.7330021892066658,-36.06675498286685,-36.06675498286689,11,45.45454545454545,121.94304817668672,mega,1210.9
XLB,79.70957447514051,173.46282228859062,-93.75324781345012,0.5971439587230907,0.7131054415702706,-28.953664247808952,-37.27419153971871,10,50.0,797.0957447514049,mega,786.0
XLRE,58.79078028091924,101.69828058848466,-42.90750030756543,0.49649974445674777,0.5386109296510319,-31.249937092439662,-38.82474855104052,9,55.55555555555556,653.2308920102137,large,381.1
XLC,175.99493592011342,156.60393424047484,19.391001679638563,1.2164672523180817,0.7851307391866023,-17.970852506154223,-46.65359233117143,6,83.33333333333334,2933.2489320018904,mega,903.9
510300.SS,0.3333543300171186,80.47553764053596,-80.14218331051883,0.07065805666462004,0.5101458449712631,-43.503197129168825,-42.15702301031384,13,30.76923076923077,2.5642640770547587,large,433.5
159915.SZ,74.19113504767043,83.77433628160578,-9.583201233935357,0.4508984638872835,0.4367386543029947,-55.234926578381405,-56.58465895446385,8,37.5,927.3891880958805,mega,552.2
510500.SS,17.85326546469867,60.22161482799998,-42.36834936330131,0.22372799939438567,0.3987042350161975,-42.149102579415654,-39.48104052504945,13,23.076923076923077,137.33281126691327,mega,533.2
510050.SS,31.14417104848293,67.70124357257835,-36.55707252409542,0.37984185881760435,0.4670454359279481,-25.524146072448893,-41.88061844541108,8,50.0,389.30213810603664,large,275.8
588000.SS,3.749549132999764,4.450247389585366,-0.7006982565856017,0.1712981312660014,0.20913842104945735,-45.405405386054824,-59.6407160409667,2,50.0,187.4774566499882,mega,514.7
^HSI,16.256845612992002,22.501036981581475,-6.244191368589472,0.22674387934436283,0.24641100637681285,-32.65938736958647,-55.70077249305001,11,54.54545454545454,147.7895055726544,mega,12015539.1
^HSTECH,11.618912882392943,-35.39381970563983,47.01273258803277,0.26182687439749114,-0.126163347180334,-31.506845586748867,-61.95546857906218,3,33.33333333333333,387.29709607976463,mega,651.9
GLD,139.74060966054464,267.35891721116565,-127.61830755062098,0.9072243371465791,1.0841927135192502,-19.209514099718184,-22.002168134715404,11,63.63636363636363,1270.369178732224,mega,6267.1
SLV,92.4777297982238,338.24802546457653,-245.7702956663527,0.47736503832322597,0.7614192385758134,-57.59793931106045,-42.80612336750188,13,30.76923076923077,711.3671522940292,mega,3009.7
USO,39.553994694937316,41.55783407401741,-2.003839379080091,0.3129217544064038,0.34590711932915247,-51.01406656609833,-86.75373056873745,9,22.22222222222222,439.48882994374776,mega,6578.3
IBIT,34.527860410760965,61.50957445353169,-26.981714042770722,0.6646016924759984,0.8071279274534249,-28.22328259319019,-49.361764608620895,3,33.33333333333333,1150.9286803586983,mega,2084.5
