rule,family,episode,n_symbols,median_sharpe,median_bh_sharpe,median_alpha_%,pct_beat_bh,median_win_rate_%,median_dd_ratio
rvwap,volume,270,25,0.7160276921598449,0.733002295092549,-1.0930851296826583,36.0,100.0,1.0000000000000004
atr_kc,volatility,71,26,0.681059489620728,0.7232210575579554,-9.729596898471936,38.46153846153847,100.0,0.9999999999999997
rsi,momentum,30,26,0.6069697086187147,0.723289895621128,-58.73700209350271,26.923076923076923,80.0,0.913310257141859
divergence,momentum,30,26,0.5172040823210332,0.7228934982192419,-77.92192290334907,7.6923076923076925,72.38095238095238,0.7696752344094921
sar,momentum,64,26,0.5670802584884902,0.7232756006737697,-78.36015322919405,11.538461538461538,43.48335488041371,0.7336620729067596
boll,volatility,52,26,0.6127270643129177,0.7232486248614606,-78.97740716356432,3.8461538461538463,73.80952380952381,0.9022456989019285
ichimoku,trend,138,26,0.5242278345347473,0.7230538153884682,-86.94771556198447,7.6923076923076925,50.0,0.6648727986400371
demark,momentum,127,26,0.4621768551055531,0.722799180495129,-90.65029005488262,7.6923076923076925,72.72727272727273,0.7747040514516916
obv,volume,53,26,0.5286917908828536,0.7233595594624131,-92.0765496330929,15.384615384615385,50.0,0.7361879124877793
ma,trend,22,26,0.4912403879642585,0.7233388744487346,-92.34433428439257,7.6923076923076925,41.42300194931774,0.711006150749975
bbi,trend,67,26,0.42406057597798996,0.7233460378943198,-96.53383628930457,7.6923076923076925,30.503826530612244,0.7872440418104507
cci,momentum,63,26,0.45992797069114444,0.7231932656763125,-100.48560618155308,7.6923076923076925,68.50198412698413,0.8492568011957409
kdj,momentum,32,26,0.42240617092860355,0.7222669646859684,-100.50095286767485,15.384615384615385,78.46153846153847,0.5924914422447908
volume_price,volume,10,26,0.3345934240079017,0.7234209857326602,-102.0069163149368,15.384615384615385,54.549180327868854,0.7138565058110231
macd,momentum,31,26,0.3924185418924929,0.7233945003630646,-104.35070685864014,7.6923076923076925,50.0,0.9870717687800208
fib,sr,12,26,0.36930925321217667,0.7230332199726348,-125.66180284216442,3.8461538461538463,71.08585858585859,0.628824863087101
cdl_patterns,pattern,0,26,0.3034556625282065,0.7228454781849551,-126.003322539245,3.8461538461538463,45.192859273536634,0.9988061676413647
wvad,volume,147,26,0.3837031423261892,0.7236417758720646,-129.24622945986823,11.538461538461538,70.71428571428572,0.7728391347225392
gmma,trend,140,26,0.3075993900406139,0.7230039591195365,-131.3797215219697,3.8461538461538463,37.71551724137931,0.7526025287193079
