symbol,rule_return_%,bh_return_%,alpha_%,rule_sharpe,bh_sharpe,rule_maxdd_%,bh_maxdd_%,n_trades,win_rate_%,expectancy_%,size,adv_usd_m
SPY,200.9826792723147,299.67061945098544,-98.68794017867076,1.303398217200454,1.0404956992412657,-16.07497309401066,-33.71725001650743,65,52.307692307692314,309.2041219574074,mega,61788.3
QQQ,215.2973481457868,527.6430068639091,-312.3456587181223,1.0815993265828256,1.1299005792273102,-23.780902888585054,-35.118716988540996,68,45.588235294117645,316.6137472732157,mega,39413.6
IWM,74.58539056037978,180.71495249575494,-106.12956193537516,0.5400740090942584,0.6805352220768637,-39.76589855614133,-41.133276799203124,80,46.25,93.23173820047475,mega,12150.2
DIA,97.74350762985696,237.43002033853423,-139.68651270867727,0.8464241395182067,0.9432343582066628,-20.981612162620866,-36.69608433571264,77,53.246753246753244,126.93962029851562,mega,3374.3
XLK,228.8996299306594,681.3311354872264,-452.43150555656706,1.0203057344823108,1.1651039192473174,-24.930738678246268,-33.55906507050176,73,52.054794520547944,313.561136891314,mega,2287.8
XLF,58.647113167227104,237.6748289715923,-179.0277158043652,0.4874215602384183,0.7960022778663144,-27.35122029499203,-42.862524996824845,72,48.61111111111111,81.45432384337099,mega,2707.9
XLE,64.86018079633779,150.33202968206191,-85.47184888572413,0.4256945595138097,0.5542490970777391,-42.16118600422979,-66.81304101733971,83,32.53012048192771,78.14479614016619,mega,3580.7
XLV,38.14768827251924,141.47668269860844,-103.32899442608921,0.4365247753612737,0.7434063332802181,-19.839178358214337,-28.404320228907654,76,42.10526315789473,50.19432667436743,mega,2154.6
XLI,64.85990742770686,269.0735722661672,-204.21366483846035,0.5618664912841825,0.9111006287961163,-25.122270398944192,-42.334086414451555,81,40.74074074074074,80.07395978729232,mega,2357.0
XLY,136.2546622412047,236.3756955614514,-100.12103332024671,0.8514328495586462,0.7977854636707065,-25.43204262408506,-39.669574660470715,75,44.0,181.6728829882731,mega,1228.9
XLP,40.811199842958615,107.51620292985329,-66.70500308689468,0.5048090910080182,0.687800418098974,-21.302052973796147,-24.5122467062009,79,45.56962025316456,51.65974663665639,mega,1481.8
XLU,81.05113894293228,167.0518673330467,-86.0007283901144,0.6488340449847486,0.7333504981760004,-18.698909817906404,-36.06674010682816,76,46.05263157894737,106.64623545122654,mega,1211.0
XLB,59.74458107392171,173.56719450655223,-113.82261343263052,0.49505921569009864,0.7133272507214686,-23.54172514559266,-37.27417569481288,78,44.871794871794876,76.59561676143815,mega,786.0
XLRE,3.0499335210709067,101.76618970529223,-98.71625618422132,0.10546907770399662,0.5388106091934041,-28.696450005646156,-38.82477723829866,85,38.82352941176471,3.5881570836128134,large,381.1
XLC,77.36726002487397,156.6039976326697,-79.2367376077957,0.722417454575519,0.7851308006395642,-29.82836723656782,-46.65359295427201,56,46.42857142857143,138.1558214729891,mega,903.9
510300.SS,11.539254521300009,80.47555390023498,-68.93629937893498,0.18248445089276322,0.5101458418996841,-34.40728281196742,-42.15702301031358,83,31.32530120481928,13.902716290722879,large,433.5
159915.SZ,63.99096879659601,83.77433628160578,-19.783367485009784,0.41405718278669257,0.4367386543029947,-40.94216570045144,-56.58465895446385,85,30.58823529411765,75.28349270187769,mega,552.2
510500.SS,27.628749817697063,60.22161482799998,-32.592865010302916,0.28613300757912324,0.3987042484546553,-39.71990751988715,-39.48104453212367,74,29.72972972972973,37.336148402293446,mega,533.2
510050.SS,10.333956479515928,67.70124357257835,-57.36728709306242,0.17249349825003993,0.4670454921944257,-34.74764785225637,-41.88061844541093,80,38.75,12.917445599394853,large,275.8
588000.SS,59.370657543497785,4.450247389585366,54.92041015391243,0.594599109718618,0.20913842104945735,-26.56103739102238,-59.6407160409667,38,39.473684210526315,156.2385724828888,mega,514.7
^HSI,-4.3579319003250205,22.501036981581475,-26.858968881906492,0.04801704138062032,0.24641100637681285,-48.190587265260056,-55.70077249305001,86,32.55813953488372,-5.067362674796499,mega,12015539.1
^HSTECH,6.844951047027516,-35.39381970563983,42.23877075266734,0.209801318832224,-0.126163347180334,-42.257960127653874,-61.95546857906218,37,45.94594594594595,18.49986769466892,mega,651.9
GLD,88.43588610803981,268.1712541633611,-179.7353680553213,0.6718462739204666,1.0859265294737315,-18.50098213215594,-22.002168134715404,79,32.91139240506329,111.94415963043014,mega,6267.1
SLV,76.9939867854951,340.1912855459912,-263.1972987604961,0.4339105717301615,0.7631443229777761,-47.04910183211899,-42.80612336750188,88,30.681818181818183,87.49316680169909,mega,3009.8
USO,31.524512970887663,41.39458852112428,-9.870075550236612,0.2826416509225359,0.345546649117483,-67.36739717435205,-86.75373056873745,84,38.095238095238095,37.52918210819951,mega,6578.3
IBIT,9.554239089967814,61.50957445353169,-51.95533536356387,0.34666287489859476,0.8071279274534249,-44.699778042156765,-49.361764608620895,20,30.0,47.77119544983907,mega,2084.5
