symbol,rule_return_%,bh_return_%,alpha_%,rule_sharpe,bh_sharpe,rule_maxdd_%,bh_maxdd_%,n_trades,win_rate_%,expectancy_%,size,adv_usd_m
SPY,130.64402081750453,299.71008601073896,-169.0660651932344,0.7885605917042134,1.0405614137520094,-34.4050976297503,-33.717259886422944,8,87.5,1633.050260218806,mega,61788.3
QQQ,214.249942120248,527.4878758343343,-313.2379337140863,0.8825469929228765,1.1297654489651816,-28.559378456503914,-35.118733677269475,7,85.71428571428571,3060.713458860685,mega,39413.6
IWM,54.54138451996785,180.67467986625064,-126.13329534628281,0.3903200517590859,0.6804605247093869,-50.752497341771544,-41.133297090354596,9,44.44444444444444,606.0153835551979,mega,12150.2
DIA,62.13273172854657,237.43002033853423,-175.29728860998765,0.4789472819841577,0.9432343582066628,-38.99250616715246,-36.69608433571264,12,58.333333333333336,517.7727644045548,mega,3374.3
XLK,256.7850029580852,681.3565301449808,-424.57152718689554,0.9095668211988331,1.1651199866385231,-31.15322909278928,-33.5590754628152,8,75.0,3209.8125369760664,mega,2287.8
XLF,39.99642020524418,237.7381659398183,-197.74174573457412,0.3337050529818398,0.7961025282332962,-43.52368218644921,-42.862531876842716,12,50.0,333.3035017103682,mega,2707.9
XLE,40.81792178545023,150.35471458639034,-109.5367928009401,0.3277783141810992,0.5542861491971344,-37.45490707832775,-66.8130285353096,11,45.45454545454545,371.0720162313657,mega,3580.7
XLV,42.312061782268266,141.47668269860844,-99.16462091634017,0.3945170320259,0.7434063332802181,-32.69165737138927,-28.404320228907654,11,45.45454545454545,384.6551071115299,mega,2154.6
XLI,60.329333266220644,269.03112943230764,-208.701796166087,0.4570692901476577,0.9110311578097808,-50.56097466241749,-42.33408565646801,10,50.0,603.2933326622065,mega,2357.0
XLY,81.10238801509415,236.47344409855017,-155.37105608345604,0.5097640915517764,0.7979430221039149,-38.64386268942036,-39.669577633510244,6,66.66666666666666,1351.7064669182355,mega,1228.9
XLP,48.61540262580511,107.42908234703263,-58.81367972122753,0.4553259690882687,0.6874530244869316,-24.51226412952726,-24.512264129527228,9,66.66666666666666,540.1711402867236,mega,1481.8
XLU,27.660815297094345,167.05189717308792,-139.3910818759936,0.27760352309043473,0.73335051107412,-36.06677820653399,-36.066778206533975,10,60.0,276.60815297094297,mega,1211.0
XLB,26.742594515455437,173.61945234422183,-146.8768578287664,0.26776727173561565,0.7134384896520093,-42.36788635535833,-37.27418272288643,12,33.33333333333333,222.8549542954621,mega,786.0
XLRE,40.87119363412457,101.7476581974273,-60.87646456330273,0.34218583417456183,0.5387560369607899,-40.72319529107208,-38.82475540963314,10,60.0,408.71193634124575,large,381.1
XLC,206.0154787646935,156.6039765019346,49.41150226275892,1.1238895185311542,0.7851311020145159,-30.14936553078109,-46.6535972977185,4,75.0,5150.386969117337,mega,903.9
510300.SS,67.65366837353561,80.47553764053596,-12.821869267000352,0.5777233162540217,0.5101458794485336,-32.97026087948613,-42.15702301031361,7,57.14285714285714,966.4809767647945,large,433.5
159915.SZ,91.72888522492984,83.77433628160578,7.954548943324047,0.5307885954586885,0.4367386543029947,-45.224376336441466,-56.58465895446385,6,50.0,1528.8147537488308,mega,552.2
510500.SS,-1.5208117299373771,60.22161482799998,-61.74242655793736,0.08795884373353059,0.3987042477565871,-44.61170728265576,-39.48104714623775,11,36.36363636363637,-13.825561181248702,mega,533.2
510050.SS,49.29196990670409,67.70127703173769,-18.409307125033603,0.5048053640068055,0.46704562979181247,-23.93596446382309,-41.880622221783206,9,44.44444444444444,547.6885545189342,large,275.8
588000.SS,4.134563875933455,4.450247389585366,-0.3156835136519112,0.16657263723295013,0.20913842104945735,-37.24029892712812,-59.6407160409667,5,20.0,82.69127751866904,mega,514.7
^HSI,-9.144187649687428,22.501036981581475,-31.645224631268903,0.017428086229507117,0.24641100637681285,-48.822542302959484,-55.70077249305001,11,45.45454545454545,-83.12897863352208,mega,12015539.1
^HSTECH,-48.74458485781768,-35.39381970563983,-13.350765152177852,-0.7672408782194574,-0.126163347180334,-49.89987925225687,-61.95546857906218,7,14.285714285714285,-696.3512122545384,mega,651.9
GLD,124.5616902055603,268.2381567096316,-143.6764665040713,0.8197492004466513,1.0860684073380833,-19.209514099718174,-22.002168134715404,12,75.0,1038.0140850463358,mega,6267.1
SLV,31.718480138964335,340.2221137612917,-308.50363362232736,0.2903270261656764,0.7631715725397809,-57.141984121725045,-42.80612336750188,14,28.57142857142857,226.56057242117356,mega,3009.8
USO,-0.7198290210858067,41.359608602106526,-42.079437623192334,0.14707959708374418,0.34546936813037726,-59.218943755473795,-86.75373056873745,14,28.57142857142857,-5.141635864898376,mega,6578.3
IBIT,-29.278605013088853,61.509202008424566,-90.78780702151342,-0.2897704613770204,0.807125502788322,-57.727435989920096,-49.361764608620895,2,50.0,-1463.9302506544427,mega,2084.5
