symbol,rule_return_%,bh_return_%,alpha_%,rule_sharpe,bh_sharpe,rule_maxdd_%,bh_maxdd_%,n_trades,win_rate_%,expectancy_%,size,adv_usd_m
SPY,94.20991751833554,299.7489338368637,-205.53901631852818,0.8327759871679576,1.0406271372647236,-12.437187863953113,-33.71726642847275,25,60.0,376.8396700733422,mega,61788.3
QQQ,181.4230515647553,527.6186524932814,-346.19560092852606,0.9156506714578457,1.1298791540024256,-30.67080554866608,-35.118724755029405,22,72.72727272727273,824.6502343852515,mega,39413.6
IWM,82.29700861518353,180.72491747190958,-98.42790885672605,0.5705786720479008,0.680553576439425,-31.2827772944128,-41.13328079525249,30,56.666666666666664,274.3233620506119,mega,12150.2
DIA,32.24508334367803,237.5520166233878,-205.30693327970977,0.36981306634852085,0.943477114941635,-32.41931806060434,-36.69611514956862,25,48.0,128.9803333747119,mega,3374.3
XLK,203.74298476839527,681.2807989826848,-477.53781421428954,0.9014287019982774,1.1650718797706052,-26.695210334999885,-33.55905321083764,26,57.692307692307686,783.6268644938281,mega,2287.8
XLF,92.05440821869574,237.73828886989173,-145.683880651196,0.6401597197541806,0.7961026740891359,-32.02429567135038,-42.862529910011446,26,50.0,354.0554162257529,mega,2707.9
XLE,29.45354251667977,150.30934041700272,-120.85579790032295,0.276016212994115,0.5542120331984978,-43.09811680874842,-66.8130330796971,24,41.66666666666667,122.72309381949924,mega,3580.7
XLV,68.58628563118585,141.50150409126147,-72.91521846007564,0.6432457398291274,0.7434823956363368,-22.907390075554613,-28.404309879355203,22,63.63636363636363,311.75584377811725,mega,2154.6
XLI,90.82104751089283,269.17946698811335,-178.35841947722054,0.694468605342206,0.9112729491994893,-27.461389268331448,-42.33410048803773,20,50.0,454.105237554464,mega,2357.0
XLY,91.44811641996344,236.47344409855017,-145.02532767858673,0.6335160338577903,0.7979430221039149,-39.482122221116775,-39.669577633510244,24,50.0,381.0338184165143,mega,1228.9
XLP,11.926082319020388,107.45311664722983,-95.52703432820944,0.19705469297457293,0.6875491995533354,-21.70234275247068,-24.512258888985727,31,48.38709677419355,38.47123328716239,mega,1481.8
XLU,27.04211086331701,167.02256194766852,-139.9804510843515,0.30895703896780674,0.7332810338527334,-25.28544524474595,-36.066733578426934,31,51.61290322580645,87.23261568811944,mega,1211.0
XLB,56.113547144229415,173.6193434623544,-117.50579631812501,0.4888619386482469,0.7134380850720928,-25.49281552823611,-37.274203807107455,24,41.66666666666667,233.80644643428911,mega,786.0
XLRE,13.121628103064486,101.74769304104083,-88.62606493797635,0.19132638467153515,0.5387561816783702,-42.51359818618905,-38.8247498039409,26,50.0,50.467800396401685,large,381.1
XLC,180.51927416445193,156.60395537120297,23.91531879324895,1.136100238392894,0.7851307622901901,-19.24277415376262,-46.65360691926098,14,85.71428571428571,1289.4233868889419,mega,903.9
510300.SS,22.357250709555846,80.47553764053596,-58.11828693098011,0.2608169985329934,0.5101457856125083,-28.948506802810815,-42.15702301031363,19,47.368421052631575,117.66974057660946,large,433.5
159915.SZ,99.72948215187517,83.77433628160578,15.955145870269394,0.5377357134743147,0.4367386543029947,-32.620962606235,-56.58465895446385,22,45.45454545454545,453.31582796306924,mega,552.2
510500.SS,12.629104780538055,60.22161482799998,-47.59251004746192,0.19129678920970505,0.3987042477565871,-40.55954772313351,-39.48104714623775,21,42.857142857142854,60.13859419303853,mega,533.2
510050.SS,32.52317008143862,67.70125472562995,-35.17808464419134,0.34935699243984725,0.4670454857956194,-28.699842795427234,-41.880632495767266,22,45.45454545454545,147.83259127926658,large,275.8
588000.SS,-23.363075743375557,4.450247389585366,-27.81332313296092,-0.16789941031157513,0.20913842104945735,-48.61658290362888,-59.6407160409667,15,13.333333333333334,-155.7538382891704,mega,514.7
^HSI,15.48931585953782,22.501036981581475,-7.011721122043654,0.20920516456146485,0.24641100637681285,-40.39621508692905,-55.70077249305001,23,52.17391304347826,67.34485156320784,mega,12015539.1
^HSTECH,40.62669040547976,-35.39381970563983,76.02051011111959,0.5196478682913924,-0.126163347180334,-24.067388110027753,-61.95546857906218,9,66.66666666666666,451.40767117199744,mega,651.9
GLD,181.9305304079443,268.28001552200413,-86.3494851140598,0.9973139944648088,1.0861571048124008,-19.209514099718216,-22.002168134715404,21,71.42857142857143,866.3358590854489,mega,6267.1
SLV,134.7113724529965,340.2529419765922,-205.54156952359568,0.5503151168995642,0.7631988184235609,-53.25376500591326,-42.80612336750188,27,40.74074074074074,498.93100908517226,mega,3009.8
USO,21.775341987757418,41.359608602106526,-19.58426661434911,0.24542902057231578,0.34546936813037726,-42.944252229445624,-86.75373056873745,26,34.61538461538461,83.75131533752858,mega,6578.3
IBIT,121.53680591795393,61.50957445353169,60.027231464422236,1.5676013687752295,0.8071279274534249,-17.139457236335076,-49.361764608620895,5,60.0,2430.7361183590783,mega,2084.5
