symbol,rule_return_%,bh_return_%,alpha_%,rule_sharpe,bh_sharpe,rule_maxdd_%,bh_maxdd_%,n_trades,win_rate_%,expectancy_%,size,adv_usd_m
SPY,141.82649418002717,299.7499994628358,-157.9235052828086,0.8090550156806324,1.0406292281392837,-30.47919552514964,-33.7172565585582,17,82.35294117647058,834.2734951766304,mega,61788.4
QQQ,258.7726233040317,527.6916017811959,-268.91897847716416,1.01028353976859,1.1299422177524894,-22.417754926099253,-35.118716988540996,19,100.0,1361.961175284377,mega,39413.6
IWM,19.504291456749034,180.7551911831612,-161.25089972641217,0.22901159897055112,0.6806098140583627,-41.26887843212281,-41.13328165664352,13,69.23076923076923,150.0330112057614,mega,12150.2
DIA,89.69535310271219,237.56563859124492,-147.87028548853274,0.6088452481771561,0.94350396132206,-33.25408556080133,-36.69608125942631,20,85.0,448.4767655135609,mega,3374.3
XLK,219.31392378224817,681.3563798034311,-462.0424560211829,0.8487791483525463,1.1651198841493442,-28.460376924051957,-33.55906060801864,18,88.88888888888889,1218.4106876791566,mega,2287.8
XLF,109.50272227405546,237.77005600141464,-128.2673337273592,0.6050941690602731,0.7961530258010748,-40.20539994506893,-42.862525487884426,21,80.95238095238095,521.4415346383594,mega,2707.9
XLE,114.76079199000526,150.35477962874296,-35.59398763873769,0.5604547497124032,0.5542863089201447,-61.49592271051672,-66.81304671285233,21,80.95238095238095,546.4799618571683,mega,3580.7
XLV,177.97288261474228,141.5427027998074,36.43017981493488,1.029662040128765,0.7436090026017848,-28.136731121452485,-28.404334059738922,23,91.30434782608695,773.7951418032274,mega,2154.6
XLI,126.19676132531634,269.2216713120268,-143.02490998671044,0.7238696579487912,0.9113419772098478,-39.50979896528626,-42.334095544181196,21,80.95238095238095,600.9369586919827,mega,2357.0
XLY,81.44849587637033,236.54332206946148,-155.09482619309117,0.5253214075463083,0.7980558466196018,-28.624616201833764,-39.66956561753292,16,87.5,509.0530992273146,mega,1228.9
XLP,76.00129257038388,107.46569010044314,-31.46439753005925,0.6821939476649068,0.6875992682353177,-22.63759262023428,-24.512262427826727,20,80.0,380.0064628519194,mega,1481.8
XLU,205.18228411652134,166.9640258219307,38.21825829459065,0.941380802673586,0.7331416736352886,-33.96417499259607,-36.06675027370317,22,86.36363636363636,932.646745984188,mega,1211.0
XLB,221.91196493235893,173.61937068281313,48.29259424954579,0.9759873146374058,0.7134381176069674,-36.70070889230327,-37.27418451164597,23,82.6086956521739,964.8346301406906,mega,786.0
XLRE,105.46366180985257,101.76615485849321,3.697506951359353,0.635178508141751,0.5388106363439128,-36.017016228948684,-38.824782843988395,20,85.0,527.3183090492628,large,381.1
XLC,-3.8582043245036037,156.58236382026837,-160.44056814477196,0.07680379508087315,0.7850730079853693,-44.41942463105223,-46.65360257581397,10,80.0,-38.58204324503549,mega,903.9
510300.SS,14.392069157417264,80.47552138083982,-66.08345222342255,0.20858730844594947,0.5101457245232419,-28.463086727101317,-42.1570230103136,17,76.47058823529412,84.65923033774845,large,433.5
159915.SZ,-20.035383308528306,83.77433628160578,-103.8097195901341,-0.03684425491003789,0.4367386543029947,-54.54157013785241,-56.58465895446385,14,42.857142857142854,-143.10988077520216,mega,552.2
510500.SS,47.72106883678464,60.22161482799998,-12.500545991215345,0.4072404647771845,0.39870423018585105,-36.70645747924562,-39.48105115331182,14,78.57142857142857,340.86477740560434,mega,533.2
510050.SS,28.440458124479772,67.70127703173769,-39.26081890725792,0.33934525273265304,0.46704562979181247,-26.111321461253446,-41.880622221783206,18,61.111111111111114,158.0025451359988,large,275.8
588000.SS,31.027300121975493,4.450247389585366,26.57705273239013,0.45173475249710887,0.20913842104945735,-45.610011923060625,-59.6407160409667,11,63.63636363636363,282.06636474523174,mega,514.7
^HSI,-3.833007881151916,22.501036981581475,-26.334044862733393,0.068172434356509,0.24641100637681285,-48.677976141391014,-55.70077249305001,15,53.333333333333336,-25.553385874346077,mega,12015539.1
^HSTECH,-13.434580829913955,-35.39381970563983,21.959238875725873,0.02084706189114562,-0.126163347180334,-54.41329068454914,-61.95546857906218,8,75.0,-167.93226037392446,mega,651.9
GLD,96.1199258987373,268.2632771080212,-172.1433512092839,0.9776230450783171,1.0861216432140834,-13.976113138624335,-22.002168134715404,19,78.94736842105263,505.89434683545926,mega,6267.1
SLV,200.03760429543598,340.16041026471316,-140.12280596927718,0.8470331170227652,0.7631170281271509,-31.226990412003687,-42.80612336750188,23,78.26086956521739,869.7287143279827,mega,3009.8
USO,-10.03094336147633,41.359608602106526,-51.390551963582865,0.14050272008364545,0.34546936813037726,-83.46117432799296,-86.75373056873745,20,80.0,-50.15471680738142,mega,6578.3
IBIT,80.59330992192359,61.490808950056476,19.10250097186712,1.0340708240239107,0.8070057527479028,-30.737651691495536,-49.361764608620895,5,60.0,1611.8661984384726,mega,2084.5
