symbol,rule_return_%,bh_return_%,alpha_%,rule_sharpe,bh_sharpe,rule_maxdd_%,bh_maxdd_%,n_trades,win_rate_%,expectancy_%,size,adv_usd_m
SPY,101.18970805036464,299.7499994628358,-198.56029141247114,0.8331739044776103,1.0406292281392837,-23.375301591225085,-33.7172565585582,123,51.21951219512195,82.26805532549976,mega,61788.4
QQQ,112.60210775772892,527.7010664526193,-415.0989586948905,0.7193818296743159,1.1299501102236682,-36.88524095050965,-35.11872863827365,124,50.0,90.8081514175233,mega,39413.7
IWM,87.4230260487755,180.63448426656643,-93.21145821779093,0.5915203027376993,0.6803859698611768,-22.247800510625936,-41.133298813133415,119,43.69747899159664,73.46472777208027,mega,12150.2
DIA,107.42093660076146,237.60621088634815,-130.18527428558667,0.875398259491931,0.9435854489370152,-18.109596652139704,-36.69608433571264,118,47.45762711864407,91.03469203454367,mega,3374.3
XLK,101.64777703674336,681.3312858239187,-579.6835087871754,0.643195180611568,1.1651038542187422,-39.349282704461174,-33.55907693016198,124,52.41935483870967,81.97401373930921,mega,2287.8
XLF,83.9741870971417,237.61106558659927,-153.6368784894576,0.6175843462208136,0.7959010645264574,-24.392711693352133,-42.86252155681595,123,48.78048780487805,68.27169682694446,mega,2707.9
XLE,108.26536528934064,150.35477962874296,-42.08941433940232,0.5659289273807092,0.5542863089201447,-30.65753203039856,-66.81304671285233,123,41.46341463414634,88.02062218645568,mega,3580.7
XLV,112.06524803844884,141.5591963253129,-29.493948286864068,0.8964263685893061,0.7436597773309472,-13.223365563669098,-28.40431565005894,114,50.877192982456144,98.302849156534,mega,2154.6
XLI,107.35272973861471,269.1900037854781,-161.8372740468634,0.7565487743002842,0.9112904131409403,-23.098240059900597,-42.33409060032458,118,44.06779661016949,90.97688960899552,mega,2357.0
XLY,334.7561596698631,236.5154223962603,98.2407372736028,1.3192977289850045,0.798010905987142,-25.300661840129724,-39.669585902231965,112,54.46428571428571,298.8894282766636,mega,1228.9
XLP,25.7286944372528,107.49097611964673,-81.76228168239393,0.3393042240400407,0.6876997439159503,-20.29936125294427,-24.512253648443583,116,48.275862068965516,22.1799089976317,mega,1481.8
XLU,39.06314800053717,166.90545237040902,-127.84230436987187,0.385906899290558,0.7330022907469117,-18.095238900750143,-36.06675915668477,120,40.0,32.552623333780986,mega,1211.0
XLB,69.07860560238018,173.67145786346308,-104.5928522610829,0.5438741814750364,0.7135489106006278,-21.666400418597863,-37.274178314469744,119,42.857142857142854,58.049248405361425,mega,786.0
XLRE,72.2875895618726,101.78883183452282,-29.50124227265024,0.5682315895962713,0.5388771529450456,-22.717664845629816,-38.82478159109225,114,47.368421052631575,63.41016628234436,large,381.1
XLC,10.8528893355503,156.58236382026837,-145.72947448471805,0.19727381181606712,0.7850727977765789,-39.74471208644456,-46.65359729771853,98,48.97959183673469,11.074376873010436,mega,903.9
510300.SS,7.744551518597309,80.47552138083982,-72.73096986224252,0.14976384847003368,0.5101457081531823,-39.773280455070434,-42.15701776010688,112,33.92857142857143,6.9147781416047565,large,433.5
159915.SZ,17.608563459853123,83.77433628160578,-66.16577282175267,0.22026927932496157,0.4367386543029947,-48.43963584367415,-56.58465895446385,104,36.53846153846153,16.931311019089577,mega,552.2
510500.SS,-14.736409947994181,60.22161482799998,-74.95802477599416,-0.0470263085123829,0.39870423018585105,-54.06820682193909,-39.48105115331182,113,35.39823008849557,-13.04107075043737,mega,533.2
510050.SS,17.443245671042952,67.70125472562995,-50.258009054587006,0.23299663430596526,0.4670454494725442,-34.86569546994841,-41.88062871939579,109,37.61467889908257,16.002977679855945,large,275.8
588000.SS,39.681257165715266,4.450247389585366,35.2310097761299,0.4695610539661095,0.20913842104945735,-31.260613511506918,-59.6407160409667,60,40.0,66.13542860952546,mega,514.7
^HSI,-21.424152339681967,22.501036981581475,-43.92518932126344,-0.11426923566367614,0.24641100637681285,-61.30721259204942,-55.70077249305001,111,40.54054054054054,-19.301038143857568,mega,12015539.1
^HSTECH,-6.862214636730169,-35.39381970563983,28.53160506890966,0.05616313442030473,-0.126163347180334,-47.95663164539751,-61.95546857906218,50,36.0,-13.724429273460373,mega,651.9
GLD,128.2878557682914,268.21303631124204,-139.92518054295064,0.9166063995348452,1.086015151770515,-18.814081092799352,-22.002168134715404,104,45.19230769230769,123.3537074695111,mega,6267.1
SLV,177.01479515166022,340.16041026471316,-163.14561511305294,0.665420022571905,0.7631170281271509,-35.2504445049035,-42.80612336750188,104,43.269230769230774,170.20653379967314,mega,3009.8
USO,16.479264541286884,41.31879276577554,-24.839528224488657,0.22285357382416088,0.3453791759778909,-67.37784736224164,-86.75373056873745,115,42.608695652173914,14.329795253292957,mega,6578.3
IBIT,32.73320670668641,61.58430699676093,-28.851100290074516,0.6463492332612031,0.8076143012037373,-33.42694067744936,-49.361764608620895,24,33.33333333333333,136.38836127785981,mega,2084.5
