symbol,rule_return_%,bh_return_%,alpha_%,rule_sharpe,bh_sharpe,rule_maxdd_%,bh_maxdd_%,n_trades,win_rate_%,expectancy_%,size,adv_usd_m
SPY,31.688411133887094,299.78613127864423,-268.09772014475715,0.33919754749104175,1.0406895065469288,-24.645689865080023,-33.71726642847273,12,83.33333333333334,264.07009278239275,mega,61788.4
QQQ,38.34386988680646,527.6817991822544,-489.33792929544796,0.34553121300754375,1.1299335771945511,-32.877595961111716,-35.11872591078179,12,75.0,319.5322490567206,mega,39413.7
IWM,50.24289879273972,180.7954729799189,-130.55257418717918,0.45256255174605253,0.6806844044053861,-29.811454650597412,-41.133296228964966,22,86.36363636363636,228.37681269427136,mega,12150.2
DIA,66.64434237271153,237.66395875849682,-171.0196163857853,0.6817705190331116,0.9437002320391672,-16.05718464851622,-36.696105126135016,13,92.3076923076923,512.6487874823962,mega,3374.3
XLK,71.16462198572177,681.331436160669,-610.1668141749471,0.4696683580125721,1.1651037912595061,-28.347747731099027,-33.55906060801866,10,80.0,711.6462198572181,mega,2287.8
XLF,42.723763764742145,237.6110860672358,-194.88732230249366,0.4218750716448346,0.7959010341477175,-19.849138603310568,-42.86251320361699,21,66.66666666666666,203.44649411781998,mega,2707.9
XLE,123.94719010694118,150.46827356328012,-26.521083456338946,0.685393903261961,0.5544715714904734,-26.04370907357827,-66.81304783391478,20,70.0,619.7359505347058,mega,3580.7
XLV,12.408312610989542,141.65804171830845,-129.2497291073189,0.18739327200668163,0.7439631336490852,-25.913885976228247,-28.404287988393417,14,64.28571428571429,88.63080436421104,mega,2154.6
XLI,62.62165097124216,269.4335552365318,-206.81190426528966,0.4912946032012362,0.9116871764333214,-33.192834512124705,-42.33410048803776,17,76.47058823529412,368.3626527720123,mega,2357.0
XLY,94.2023451607207,236.7526256834753,-142.55028052275458,0.6285770709120669,0.7983927438445166,-26.854445380227578,-39.669564843317495,15,66.66666666666666,628.0156344048046,mega,1228.9
XLP,12.297997073236056,107.57934844336108,-95.28135137012502,0.19904325882201043,0.6880518940123371,-21.906877167133633,-24.512271071768986,13,61.53846153846154,94.59997748643107,mega,1481.8
XLU,37.69202793683306,166.93475774925065,-129.24272981241756,0.34552678100935513,0.7330717665939503,-36.06677167813531,-36.06677167813531,15,66.66666666666666,251.28018624555364,mega,1211.0
XLB,-5.989452232171552,173.98433681566587,-179.97378904783744,0.030334466199850037,0.7142117851501787,-32.1214277424378,-37.27418713130303,15,60.0,-39.92968154781042,mega,786.0
XLRE,16.004247361029268,101.83409866371721,-85.82985130268796,0.21423195865442848,0.5390101452090578,-29.569304621009216,-38.82474419824864,14,71.42857142857143,114.31605257878044,large,381.1
XLC,1.3455801511477694,156.58230043342846,-155.23672028228071,0.11945803759294789,0.7850728513017547,-44.4778465203118,-46.65359760926846,9,66.66666666666666,14.950890568308182,mega,903.9
510300.SS,73.24307708815553,80.47553764053596,-7.232460552380426,0.5544888337607958,0.5101458304851934,-29.264406593816773,-42.15702301031362,19,73.68421052631578,385.4898794113452,large,433.5
159915.SZ,27.395737089150774,83.77433628160578,-56.37859919245501,0.2686000179522206,0.4367386543029947,-39.6237333797059,-56.58465895446385,18,55.55555555555556,152.1985393841711,mega,552.2
510500.SS,21.304103102160735,60.221600134843335,-38.917497032682604,0.24208848486807513,0.39870418713597205,-38.710617429094206,-39.48104714623791,13,61.53846153846154,163.87771617046747,mega,533.2
510050.SS,67.54997525817083,67.70125472562995,-0.15127946745912002,0.5547127439909817,0.4670454723724098,-26.179115389464446,-41.88062871939604,22,77.27272727272727,307.04534208259463,large,275.8
588000.SS,19.498926079465566,4.450247389585366,15.048678689880198,0.3090061291022707,0.20913842104945735,-56.48544454237354,-59.6407160409667,9,55.55555555555556,216.65473421628406,mega,514.7
^HSI,15.636271887662623,22.501036981581475,-6.864765093918851,0.2079397669674885,0.24641100637681285,-45.837833111440254,-55.70077249305001,15,53.333333333333336,104.24181258441746,mega,12015539.1
^HSTECH,43.571904957999614,-35.39381970563983,78.96572466363945,0.5841412568980083,-0.126163347180334,-36.376809854012684,-61.95546857906218,6,66.66666666666666,726.1984159666599,mega,651.9
GLD,57.809765258458555,268.27165909242785,-210.4618938339693,0.7070033370526556,1.086139402176255,-15.000513291302031,-22.002168134715404,20,80.0,289.0488262922928,mega,6267.1
SLV,169.39365825032974,340.16041026471316,-170.76675201438343,0.7232361736684401,0.7631170281271509,-34.07880525296959,-42.80612336750188,24,75.0,705.8069093763739,mega,3009.8
USO,305.71100344770826,41.26632288724892,264.44468056045935,0.9422316441443932,0.34526320319476206,-24.621571643989803,-86.75373056873745,22,81.81818181818183,1389.5954702168553,mega,6578.3
IBIT,-10.296762897548943,61.60345927015513,-71.90022216770406,0.031111773539003316,0.8077389015094385,-47.253104991348984,-49.361764608620895,4,75.0,-257.4190724387238,mega,2084.5
